DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ROLPA,ARESH,697,3,5,0,1,0,2,8,473,0,0,18,208,9,0,8,548,3,0,152,1,12,221,461,376,1,0,2,1,6,254,0,0,0,0,0,34,716,4066,1833,2233,5.67877094972067,82.08687863860278,0,140,0,266,303,7,535,3,3,163,0,0,12,701,12,0,3,869,1092,617,540,220,519,32,33,3946,1778,2168,55,23,32,25,13,12,11,6,5,15,4,11,6,4,2,0,0,0,4,3,1,4,2,2,216,110,106,1117,606,511,148,106,42,54,38,16,35,24,11,19,16,3,4,4,0,1,1,0,0,0,0,3,1,2,8,4,4,3509,1555,1954,1492,851,641,270,100,170,1741,601,1140,6,3,3,42.51923624964377,54.726688102893895,32.80450358239509,466,4,234,0,1,0,0,11,503,121,84,8
ROLPA,BHABANG,789,0,0,4,0,0,0,6,694,0,0,25,9,61,4,6,791,0,0,2,0,6,209,590,499,4,1,0,0,3,392,0,0,2,0,0,0,799,4065,1884,2181,5.0876095118898625,86.38239339752407,1,0,2,590,200,6,787,0,4,0,0,0,8,786,6,2,5,850,989,602,622,244,362,4,5,3786,1733,2053,91,54,37,65,24,41,65,35,30,1,0,1,21,15,6,9,5,4,9,7,2,18,11,7,142,68,74,1393,733,660,413,251,162,141,83,58,44,28,16,50,35,15,4,3,1,0,0,0,0,0,0,307,110,197,1,0,1,3582,1650,1932,2410,1272,1138,56,9,47,1116,369,747,0,0,0,67.28084868788386,77.0909090909091,58.90269151138716,250,4,537,2,0,0,0,6,662,60,71,6
ROLPA,MIRUL,492,0,0,0,0,0,0,2,376,0,0,31,42,42,0,3,491,0,0,1,0,2,112,347,298,7,0,0,0,17,223,0,0,0,0,1,35,494,2513,1108,1405,5.087044534412955,78.86120996441281,96,3,0,276,116,3,491,0,0,1,0,0,2,475,19,0,0,453,606,347,368,91,218,15,20,2349,1023,1326,50,25,25,47,25,22,50,26,24,2,1,1,10,5,5,0,0,0,2,2,0,3,1,2,131,65,66,643,320,323,201,116,85,61,41,20,52,35,17,29,22,7,9,8,1,0,0,0,0,0,0,97,38,59,0,0,0,2174,943,1231,1088,578,510,39,19,20,1041,345,696,6,1,5,50.0459981600736,61.29374337221633,41.429731925264015,221,10,64,1,196,0,0,2,458,11,22,3
ROLPA,BUDAGAUN,1234,2,1,6,3,0,0,4,929,1,8,174,108,24,1,5,1218,24,0,2,0,6,206,1030,929,8,1,0,0,4,581,1,0,0,0,1,14,1250,6314,2971,3343,5.0512,88.87227041579419,82,96,1,800,266,5,1216,24,3,1,0,0,6,1208,37,1,4,1497,1655,1161,1196,316,446,20,13,6176,2893,3283,48,29,19,16,9,7,33,20,13,0,0,0,15,8,7,6,4,2,3,0,3,17,8,9,136,66,70,2405,1300,1105,799,386,413,263,152,111,148,88,60,54,40,14,22,21,1,2,2,0,0,0,0,345,123,222,17,10,7,5594,2620,2974,4056,2122,1934,89,37,52,1449,461,988,0,0,0,72.50625670361102,80.99236641221374,65.03026227303296,1090,96,58,0,0,0,0,6,1121,98,26,5
ROLPA,DHAWANG,887,0,0,1,0,0,1,5,616,3,21,210,24,15,0,5,887,0,0,0,0,7,144,742,707,5,0,0,0,6,247,0,0,1,0,0,8,894,4901,2283,2618,5.482102908277405,87.20397249809014,4,19,2,545,320,4,886,0,1,0,0,0,7,889,3,0,2,1121,1225,766,656,330,540,25,29,4748,2203,2545,60,38,22,21,9,12,37,19,18,0,0,0,9,5,4,5,0,5,2,1,1,19,8,11,127,79,48,1481,801,680,369,228,141,66,42,24,51,34,17,33,22,11,5,5,0,0,0,0,0,0,0,119,76,43,22,18,4,4283,1976,2307,2181,1251,930,217,105,112,1885,620,1265,0,0,0,50.92225075881392,63.30971659919028,40.31209362808843,180,8,695,0,3,0,0,8,758,44,87,5
ROLPA,DUBRING,917,0,11,1,0,0,0,2,532,0,0,87,178,81,51,2,843,61,1,24,0,2,140,751,716,105,0,1,0,1,415,0,1,0,0,0,40,931,4537,2076,2461,4.873254564983888,84.35595286468916,75,87,1,595,171,2,841,64,4,20,0,0,2,877,46,3,5,1000,1256,777,819,215,431,8,6,4454,2026,2428,40,26,14,9,3,6,15,6,9,2,1,1,6,5,1,3,3,0,1,1,0,7,5,2,139,62,77,1491,788,703,434,215,219,144,76,68,86,55,31,29,19,10,22,17,5,0,0,0,1,1,0,273,96,177,5,3,2,3913,1751,2162,2535,1286,1249,79,34,45,1298,431,867,1,0,1,64.78405315614619,73.44374643061109,57.77058279370952,839,60,0,28,1,0,1,2,816,75,38,2
ROLPA,DUBIDANDA,870,8,2,2,0,0,0,1,620,1,2,51,204,2,2,1,853,12,2,4,9,3,203,670,601,35,5,1,0,8,525,0,4,1,0,0,10,883,4129,1781,2348,4.676104190260475,75.85178875638842,99,93,2,424,264,1,846,24,6,2,0,2,3,834,42,0,7,872,1152,652,730,189,346,31,76,3929,1678,2251,70,33,37,42,23,19,38,19,19,0,0,0,14,8,6,11,8,3,2,1,1,23,11,12,179,94,85,1431,722,709,400,210,190,96,51,45,105,52,53,33,20,13,6,4,2,0,0,0,5,3,2,29,19,10,3,2,1,3562,1500,2062,2147,1106,1041,176,73,103,1235,319,916,4,2,2,60.27512633352049,73.73333333333333,50.484966052376336,781,86,3,4,0,1,0,8,827,45,10,1
ROLPA,ERIWANG,1000,0,1,0,0,0,0,2,654,0,2,193,106,45,1,2,995,1,0,4,0,3,277,693,518,124,14,8,0,11,442,0,2,0,0,1,33,1003,5279,2427,2852,5.26321036889332,85.09817671809256,412,22,0,410,157,2,992,2,2,4,0,0,3,940,46,2,15,1168,1364,887,867,266,473,15,24,4974,2269,2705,137,72,65,48,16,32,55,30,25,1,0,1,27,17,10,11,6,5,5,3,2,21,14,7,195,110,85,1772,900,872,536,288,248,206,123,83,77,46,31,75,49,26,20,15,5,0,0,0,4,2,2,35,14,21,18,8,10,4619,2075,2544,2785,1470,1315,105,52,53,1728,553,1175,1,0,1,60.29443602511366,70.8433734939759,51.69025157232704,214,5,782,0,0,0,0,2,723,127,151,2
ROLPA,FAGAAM,556,0,0,0,3,0,0,3,398,0,0,60,57,44,0,3,549,0,0,8,0,5,220,339,308,1,0,1,0,0,121,0,0,0,0,0,3,562,3025,1341,1684,5.382562277580071,79.63182897862234,2,5,0,186,366,3,547,1,3,6,0,0,5,556,5,0,1,635,779,427,337,205,435,3,7,2874,1265,1609,59,32,27,26,13,13,28,17,11,0,0,0,16,8,8,8,2,6,4,2,2,10,2,8,98,48,50,851,509,342,152,103,49,48,39,9,20,16,4,7,5,2,3,3,0,0,0,0,1,0,1,0,0,0,2,1,1,2648,1171,1477,1100,687,413,52,26,26,1496,458,1038,0,0,0,41.54078549848943,58.66780529461998,27.96208530805687,84,4,469,0,0,0,0,5,541,7,11,3
ROLPA,GAAM,782,2,0,1,0,0,2,0,693,0,6,24,37,27,0,0,778,1,0,5,2,1,318,464,451,1,0,1,0,2,72,0,0,0,0,0,5,787,4006,1843,2163,5.090216010165184,85.20573277854831,23,151,0,184,429,0,773,1,3,7,0,0,3,776,7,3,1,858,996,475,448,367,531,16,17,3907,1787,2120,40,23,17,19,10,9,22,13,9,0,0,0,6,3,3,3,3,0,2,1,1,7,3,4,140,64,76,1094,589,505,131,82,49,53,46,7,7,7,0,17,12,5,5,4,1,1,1,0,2,2,0,58,34,24,1,1,0,3509,1595,1914,1376,783,593,131,58,73,2000,753,1247,2,1,1,39.213451125676826,49.09090909090909,30.98223615464995,390,20,158,2,217,0,0,0,743,13,31,0
