DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
RUKUM,AATHBISDANDAGAUN,1417,4,0,10,6,0,0,3,1160,3,2,35,101,86,50,3,1438,0,0,0,0,2,657,777,752,2,3,0,0,5,109,0,0,1,0,1,6,1440,7439,3632,3807,5.165972222222222,95.40320462306278,37,41,8,370,981,3,1390,11,27,7,3,0,2,1422,14,0,4,1843,1993,1320,1220,488,708,35,65,7396,3611,3785,15,5,10,8,4,4,5,2,3,4,3,1,8,5,3,1,1,0,0,0,0,2,1,1,9,5,4,2411,1315,1096,720,474,246,272,183,89,75,49,26,69,41,28,33,27,6,0,0,0,8,6,2,347,128,219,5,0,5,6489,3190,3299,3930,2219,1711,139,41,98,2417,930,1487,3,0,3,60.564031437817846,69.56112852664576,51.86420127311307,742,43,639,4,5,2,1,4,675,29,733,3
RUKUM,AATHBISKOT,1681,0,0,3,5,0,0,10,1007,1,2,15,645,18,1,10,1675,2,0,9,0,13,752,921,770,4,2,2,0,1,446,0,0,0,1,0,26,1699,8560,4250,4310,5.0382577987051205,98.60788863109049,107,9,1,374,1198,10,1666,4,6,7,0,3,13,1584,91,2,22,2005,2151,1557,1441,423,693,25,17,8378,4152,4226,53,31,22,34,12,22,54,36,18,3,1,2,13,9,4,3,1,2,0,0,0,22,8,14,359,183,176,2440,1313,1127,784,485,299,401,261,140,237,161,76,160,113,47,60,42,18,15,11,4,2,1,1,314,146,168,27,18,9,7515,3719,3796,4733,2696,2037,80,25,55,2695,994,1701,7,4,3,62.98070525615436,72.49260553912342,53.66174920969442,852,14,814,0,0,3,1,15,1317,76,296,10
RUKUM,ARMA,707,1,0,7,2,0,0,3,621,0,0,4,88,4,0,3,714,3,0,0,0,3,215,498,437,3,0,0,0,0,266,0,0,2,0,0,7,720,4022,1977,2045,5.586111111111111,96.67481662591688,2,80,2,326,307,3,711,4,2,0,0,0,3,712,5,0,3,985,1020,807,767,166,244,12,9,3961,1945,2016,23,13,10,9,4,5,9,5,4,2,1,1,8,5,3,4,2,2,0,0,0,6,2,4,146,79,67,1196,667,529,431,260,171,209,113,96,51,28,23,67,46,21,13,12,1,0,0,0,1,1,0,87,63,24,19,10,9,3481,1707,1774,2081,1211,870,170,90,80,1230,406,824,0,0,0,59.781671933352484,70.94317516110135,49.04171364148816,304,32,381,0,0,0,0,3,481,129,108,2
RUKUM,BANFIKOT,1063,0,1,0,0,2,1,8,908,0,2,3,88,44,22,8,1059,3,0,0,0,13,182,865,824,90,6,1,0,12,287,1,1,0,0,7,28,1075,5164,2424,2740,4.803720930232558,88.46715328467153,788,18,1,92,168,8,1045,16,1,0,0,0,13,1059,14,0,2,1076,1289,916,992,140,260,20,37,5062,2364,2698,53,33,20,22,16,6,12,4,8,0,0,0,9,4,5,1,1,0,0,0,0,5,2,3,103,56,47,1278,650,628,732,409,323,397,215,182,196,106,90,177,110,67,52,41,11,21,21,0,1,0,1,56,21,35,9,3,6,4586,2145,2441,2990,1615,1375,108,49,59,1487,481,1006,1,0,1,65.1984300043611,75.29137529137529,56.329373207701764,786,155,121,1,0,0,0,12,455,208,404,8
RUKUM,BHALAKCHA,746,0,0,1,0,0,0,1,625,0,2,39,80,1,0,1,743,0,0,4,0,1,157,587,429,10,3,0,0,9,402,0,0,0,0,3,4,748,3713,1683,2030,4.963903743315508,82.90640394088669,65,41,0,479,162,1,582,10,155,0,0,0,1,726,22,0,0,793,950,689,760,101,186,3,4,3524,1581,1943,68,31,37,32,16,16,36,23,13,6,2,4,22,13,9,8,5,3,5,3,2,12,9,3,48,18,30,1024,510,514,554,278,276,263,131,132,153,81,72,89,47,42,48,32,16,5,5,0,1,1,0,81,37,44,1,0,1,3321,1483,1838,2218,1114,1104,144,68,76,958,301,657,1,0,1,66.7871123155676,75.118004045853,60.06528835690968,366,131,249,0,0,1,0,1,417,125,205,1
RUKUM,BIJAYASWORI,1857,2,37,10,7,0,1,8,1233,0,10,293,314,65,0,7,1857,43,2,6,2,12,452,1432,1163,86,19,12,2,1,1077,0,10,12,0,1,38,1922,9364,4456,4908,4.87200832466181,90.79054604726976,46,145,6,1218,499,8,1707,184,9,8,0,0,14,1790,108,5,19,1954,2155,1494,1501,376,586,84,68,9217,4382,4835,48,31,17,46,17,29,25,11,14,2,1,1,11,6,5,7,5,2,1,1,0,7,2,5,205,107,98,2198,1171,1027,1156,627,529,942,535,407,382,214,168,394,216,178,135,99,36,53,42,11,0,0,0,240,117,123,51,27,24,8368,3968,4400,5585,3067,2518,157,69,88,2621,832,1789,5,0,5,66.74235181644359,77.29334677419355,57.22727272727273,26,25,1672,18,0,162,2,17,1137,578,199,8
RUKUM,CHHIWANG,1131,1,2,1,1,0,0,2,621,0,6,130,370,9,1,1,1134,1,0,0,1,2,355,782,625,59,1,2,0,6,530,0,1,3,0,0,1,1138,5725,2703,3022,5.030755711775044,89.44407677035076,124,56,1,516,439,2,1132,2,1,1,0,0,2,1103,29,1,5,1238,1424,1059,1136,171,281,8,7,5516,2587,2929,88,56,32,33,12,21,38,21,17,3,1,2,29,16,13,7,4,3,5,3,2,6,3,3,127,70,57,1913,978,935,743,392,351,326,173,153,320,156,164,148,96,52,50,33,17,11,10,1,0,0,0,107,47,60,3,1,2,5026,2359,2667,3598,1872,1726,101,54,47,1327,433,894,0,0,0,71.58774373259052,79.35565917761764,64.71691038620172,705,109,320,0,0,0,1,3,746,2,388,2
RUKUM,CHAUKHAWANG,631,1,0,1,0,0,0,0,578,0,1,4,47,3,0,0,631,0,0,0,0,2,212,417,382,2,0,0,0,1,147,0,0,0,0,0,4,633,3235,1490,1745,5.110584518167457,85.38681948424069,10,117,1,441,64,0,629,1,1,0,0,0,2,632,1,0,0,687,852,558,602,124,245,5,5,3145,1438,1707,30,18,12,11,7,4,31,16,15,4,3,1,12,8,4,2,0,2,0,0,0,0,0,0,137,77,60,986,509,477,341,176,165,109,55,54,128,74,54,40,27,13,11,7,4,1,0,1,0,0,0,87,26,61,1,1,0,2887,1304,1583,1737,893,844,53,27,26,1093,383,710,4,1,3,60.166262556286796,68.48159509202453,53.31648768161719,329,20,282,1,0,0,0,1,55,356,222,0
RUKUM,CHUNWANG,606,0,0,1,0,1,0,1,310,1,1,17,270,9,0,1,606,1,0,1,0,1,100,505,442,28,3,2,1,5,296,0,0,1,0,0,4,609,3114,1369,1745,5.113300492610837,78.45272206303726,214,5,1,271,118,0,607,0,1,0,0,0,1,591,13,1,4,666,806,549,577,115,221,2,8,2885,1251,1634,57,32,25,70,38,32,41,16,25,6,3,3,15,12,3,4,3,1,6,2,4,30,12,18,211,128,83,876,420,456,310,163,147,124,73,51,82,44,38,34,23,11,11,9,2,5,5,0,1,0,1,201,78,123,7,3,4,2757,1199,1558,1754,879,875,90,45,45,909,275,634,4,0,4,63.619876677548056,73.31109257714762,56.161745827984596,314,3,284,0,6,1,0,1,492,7,109,1
RUKUM,DULI,842,0,0,1,2,0,1,5,601,2,3,3,221,16,0,5,840,0,0,1,4,6,341,504,437,1,0,0,0,1,278,0,0,1,0,0,6,851,4837,2310,2527,5.6839012925969445,91.41274238227147,12,4,0,378,452,5,832,0,9,1,0,3,6,845,3,0,3,1077,1233,847,848,226,381,4,4,4760,2272,2488,33,16,17,8,5,3,9,4,5,0,0,0,21,10,11,0,0,0,2,0,2,4,3,1,156,94,62,1203,634,569,520,292,228,191,98,93,173,113,60,89,66,23,18,18,0,0,0,0,1,1,0,188,82,106,7,3,4,4141,1994,2147,2507,1379,1128,46,17,29,1588,598,990,0,0,0,60.54093214199469,69.15747241725175,52.53842571029344,468,6,367,0,1,1,2,6,689,33,124,5
