DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
RUPANDEHI,AAMA,90,22,28,1456,5,0,3,11,264,1326,5,5,0,0,4,11,1122,309,10,51,102,21,78,1489,131,238,5,3,2,9,741,13,123,1434,2,5,48,1615,11340,5781,5559,7.021671826625387,103.99352401511064,566,1029,2,7,0,11,965,400,5,47,74,101,23,1612,2,0,1,2739,2567,1563,1171,1119,1338,57,58,11263,5739,5524,25,12,13,13,5,8,1,0,1,4,3,1,11,8,3,11,7,4,2,2,0,10,5,5,141,73,68,2927,1702,1225,966,701,265,408,321,87,97,60,37,202,147,55,70,51,19,19,11,8,8,2,6,16,11,5,40,23,17,9986,5090,4896,4728,3012,1716,385,211,174,4868,1864,3004,5,3,2,47.34628479871821,59.17485265225933,35.049019607843135,351,15,136,1082,5,0,6,20,1546,41,17,11
RUPANDEHI,AANANDABAN,829,40,1666,20,232,2,6,19,2056,720,0,0,3,0,16,19,561,1553,497,157,5,41,61,2729,1518,1816,1229,464,197,607,2439,94,731,2014,61,1067,24,2814,12406,5887,6519,4.408670931058991,90.30526154318147,2705,79,5,1,5,19,455,2115,32,99,7,65,41,1976,661,54,123,2112,2125,1534,1436,459,526,119,163,12274,5807,6467,36,25,11,28,18,10,10,5,5,6,4,2,20,10,10,13,7,6,8,4,4,11,7,4,412,218,194,2698,1379,1319,1877,944,933,1511,704,807,1247,639,608,914,410,504,445,273,172,151,111,40,0,0,0,138,53,85,60,36,24,11486,5379,6107,9337,4706,4631,250,125,125,1896,547,1349,3,1,2,81.2902664112833,87.48838073991449,75.83101359096119,216,310,74,2153,4,0,4,53,54,1666,1075,19
RUPANDEHI,PASCHIM AMUWA,1320,9,357,302,181,0,7,16,248,1921,3,2,3,0,0,15,549,1092,113,294,129,15,87,2071,934,1164,385,88,19,96,1638,80,294,1806,51,131,34,2192,11231,5296,5935,5.123631386861314,89.23336141533277,2030,134,3,9,1,15,423,1330,11,165,40,207,16,2062,121,3,6,2305,2517,1728,1728,547,758,30,31,11079,5203,5876,57,36,21,20,11,9,8,5,3,6,4,2,19,11,8,17,12,5,3,1,2,22,13,9,326,181,145,3227,1744,1483,1800,962,838,985,499,486,578,294,284,376,203,173,126,76,50,34,28,6,1,1,0,253,68,185,16,11,5,10244,4789,5455,7664,4032,3632,110,43,67,2465,712,1753,5,2,3,74.8145255759469,84.19294215911464,66.58111824014665,173,309,333,1362,0,0,0,15,988,747,441,16
RUPANDEHI,ASURAINA,22,13,9,980,6,1,0,20,1,1031,0,1,0,0,0,18,365,460,43,121,43,19,22,984,28,168,0,5,0,4,685,10,46,964,2,1,45,1051,7249,3771,3478,6.897240723120837,108.42438182863714,359,669,3,0,0,20,357,496,11,115,10,43,19,1048,3,0,0,1788,1621,1076,829,651,653,61,139,7212,3746,3466,14,11,3,5,3,2,1,0,1,1,1,0,2,0,2,3,3,0,1,1,0,10,6,4,134,88,46,1937,1122,815,798,590,208,216,175,41,128,106,22,88,70,18,12,7,5,1,1,0,0,0,0,3,3,0,30,16,14,6389,3329,3060,3339,2174,1165,168,95,73,2881,1060,1821,1,0,1,52.26169979652527,65.30489636527486,38.0718954248366,159,16,215,631,7,0,4,19,984,15,32,20
RUPANDEHI,BAGAHA,278,7,5,406,1,3,1,6,78,617,1,1,0,0,5,5,160,408,43,41,45,10,18,666,126,317,1,8,0,2,545,9,63,548,9,3,23,707,5228,2669,2559,7.394625176803395,104.29855412270419,496,198,3,1,3,6,153,450,5,45,0,44,10,705,0,0,2,1300,1274,764,623,407,498,129,153,5201,2657,2544,15,8,7,4,2,2,0,0,0,0,0,0,2,1,1,5,1,4,0,0,0,1,0,1,163,96,67,1470,808,662,546,388,158,201,155,46,68,51,17,84,57,27,36,27,9,5,5,0,31,5,26,8,8,0,54,18,36,4675,2375,2300,2612,1584,1028,281,120,161,1693,638,1055,89,33,56,55.8716577540107,66.69473684210526,44.69565217391304,128,13,32,521,1,0,0,12,553,64,84,6
RUPANDEHI,BAGAULI,141,28,3,1229,4,1,2,21,287,1114,3,1,0,0,4,20,758,428,6,100,112,25,83,1303,76,228,10,7,1,4,962,2,40,1249,3,1,43,1429,9780,4956,4824,6.8439468159552135,102.7363184079602,461,937,4,6,0,21,507,616,13,155,4,106,28,1423,2,2,2,2353,2222,1183,989,1130,1178,40,55,9672,4894,4778,43,21,22,12,6,6,10,6,4,8,5,3,12,7,5,19,15,4,1,0,1,3,2,1,140,82,58,2197,1239,958,899,667,232,426,323,103,133,114,19,132,105,27,44,32,12,12,9,3,5,2,3,4,2,2,9,7,2,8672,4416,4256,3912,2538,1374,264,127,137,4485,1744,2741,11,7,4,45.11070110701107,57.472826086956516,32.28383458646616,403,26,110,851,14,0,4,21,1381,21,6,21
RUPANDEHI,BAIRGHAT,118,15,3,587,3,0,2,14,7,713,0,0,0,0,8,14,370,259,3,80,18,12,19,704,229,171,4,3,0,0,448,1,54,685,3,0,19,742,6058,3131,2927,8.164420485175203,106.96959344038264,406,321,0,0,1,14,134,476,6,80,23,11,12,742,0,0,0,1502,1369,900,667,568,636,34,66,5992,3092,2900,31,21,10,28,12,16,2,2,0,0,0,0,4,3,1,0,0,0,0,0,0,1,1,0,78,44,34,1650,967,683,845,624,221,217,173,44,106,88,18,112,78,34,45,35,10,13,11,2,2,2,0,5,2,3,2,1,1,5455,2854,2601,2929,1949,980,320,178,142,2188,721,1467,18,6,12,53.693858845096244,68.29011913104415,37.677816224529025,121,7,33,561,4,0,3,13,670,12,46,14
RUPANDEHI,BASANTAPUR,263,25,241,660,4,0,3,9,231,962,5,0,0,0,0,7,309,622,150,54,62,8,50,1134,186,652,181,44,9,79,876,5,199,1056,15,97,21,1205,8163,4072,4091,6.774273858921162,99.53556587631385,963,231,1,2,0,8,199,873,1,53,1,70,8,1141,58,2,4,1852,1909,1204,1098,623,757,25,54,8100,4038,4062,24,9,15,5,3,2,10,6,4,1,1,0,6,5,1,8,4,4,5,3,2,4,3,1,413,240,173,1960,1072,888,1096,701,395,555,377,178,225,145,80,242,142,100,91,66,25,44,33,11,13,1,12,51,26,25,1,1,0,7368,3655,3713,4448,2677,1771,94,50,44,2798,920,1878,28,8,20,60.36916395222585,73.2421340629275,47.69727982763264,102,39,68,983,2,0,4,7,803,315,78,9
RUPANDEHI,BETAKUIYA,21,10,0,680,0,0,0,2,2,698,0,0,0,0,11,2,477,182,1,13,35,5,34,668,68,183,2,3,0,2,527,2,83,637,15,5,11,713,5046,2465,2581,7.077138849929874,95.50561797752809,327,383,0,1,0,2,251,406,10,4,9,28,5,713,0,0,0,1143,1184,662,546,408,531,73,107,5001,2444,2557,15,8,7,6,4,2,8,4,4,1,0,1,7,2,5,2,0,2,1,0,1,5,3,2,132,71,61,1174,658,516,477,339,138,183,146,37,94,69,25,91,75,16,28,23,5,3,3,0,8,6,2,7,2,5,6,3,3,4404,2150,2254,2089,1341,748,73,32,41,2242,777,1465,0,0,0,47.43415077202543,62.372093023255815,33.18544809228039,57,15,74,559,2,0,1,5,655,34,22,2
RUPANDEHI,BHAGAWANPUR,181,51,29,1301,1,0,0,21,15,1500,1,16,3,0,28,21,851,582,1,32,101,17,89,1469,106,420,5,5,0,3,726,1,136,1347,5,4,26,1584,11577,5886,5691,7.308712121212121,103.42646283605694,799,746,8,9,1,21,698,706,2,33,51,77,17,1574,7,2,1,2784,2693,1708,1344,1069,1339,7,10,11504,5846,5658,36,18,18,6,5,1,8,4,4,0,0,0,10,6,4,9,5,4,2,1,1,2,1,1,52,35,17,3213,1835,1378,1162,816,346,633,495,138,91,70,21,186,127,59,74,50,24,21,17,4,61,15,46,105,66,39,3,3,0,10179,5165,5014,5583,3515,2068,115,57,58,4475,1590,2885,6,3,3,54.848216917182434,68.054211035818,41.2445153570004,196,19,197,1151,3,0,1,17,1076,83,404,21
