DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SALYAN,BADAGAUN,723,2,0,1,0,0,0,2,269,0,5,108,339,5,0,2,725,0,0,2,0,1,281,443,384,42,0,0,0,1,173,0,0,0,0,0,4,728,3913,1901,2012,5.375,94.48310139165011,1,63,0,324,339,1,722,0,1,0,0,0,5,715,5,0,8,859,1014,694,773,160,230,5,11,3762,1822,1940,54,31,23,23,13,10,34,15,19,1,0,1,17,9,8,6,5,1,8,5,3,8,1,7,118,63,55,1107,584,523,541,303,238,232,138,94,200,141,59,67,44,23,4,4,0,0,0,0,4,2,2,66,21,45,3,2,1,3455,1655,1800,2241,1245,996,63,24,39,1150,385,765,1,1,0,64.86251808972504,75.22658610271903,55.333333333333336,292,12,314,0,0,99,10,1,677,16,33,2
SALYAN,BAFUKHOLA,631,0,0,0,1,0,0,7,430,0,0,94,79,29,0,7,633,0,0,0,0,6,77,558,537,11,0,1,1,14,231,1,1,0,0,0,4,639,4079,1926,2153,6.38341158059468,89.4565722248026,3,103,0,355,171,7,632,0,1,0,0,0,6,631,0,0,8,910,1100,708,760,189,292,13,48,4006,1886,2120,33,16,17,16,8,8,4,3,1,0,0,0,5,4,1,5,3,2,2,2,0,8,4,4,54,32,22,1180,601,579,580,312,268,234,151,83,99,63,36,135,81,54,23,18,5,3,3,0,2,2,0,9,4,5,3,0,3,3620,1712,1908,2270,1237,1033,114,40,74,1235,435,800,1,0,1,62.70718232044199,72.25467289719626,54.14046121593291,222,15,392,1,2,0,0,7,451,88,93,7
SALYAN,BAJH KANDA,580,1,0,1,0,0,0,3,385,0,2,74,105,16,0,3,578,4,0,0,0,3,82,493,449,82,6,8,2,6,258,0,1,4,0,0,10,585,3174,1504,1670,5.425641025641026,90.05988023952096,143,255,1,97,86,3,551,30,1,0,0,0,3,581,4,0,0,693,831,583,635,108,194,2,2,3032,1443,1589,36,18,18,19,8,11,35,11,24,0,0,0,18,7,11,4,3,1,1,1,0,29,13,16,179,91,88,952,550,402,452,240,212,207,97,110,87,52,35,91,47,44,13,10,3,2,2,0,0,0,0,4,3,1,0,0,0,2833,1328,1505,1789,997,792,195,94,101,848,237,611,1,0,1,63.14860571831981,75.07530120481928,52.624584717607966,315,236,25,1,0,4,0,4,469,65,48,3
SALYAN,BAME,952,1,0,1,2,0,0,3,281,1,0,129,516,29,0,3,955,0,0,1,0,3,281,619,566,4,0,2,0,0,225,0,0,1,0,0,59,959,5173,2454,2719,5.394160583941606,90.25376976829716,2,167,1,361,425,3,951,0,4,0,0,0,4,949,8,0,2,1146,1359,823,865,281,392,42,102,5068,2394,2674,34,20,14,31,17,14,22,14,8,3,1,2,5,3,2,5,3,2,1,0,1,4,2,2,28,14,14,1506,790,716,478,289,189,185,110,75,58,50,8,81,57,24,4,4,0,1,1,0,2,1,1,255,137,118,5,3,2,4439,2083,2356,2578,1445,1133,104,50,54,1757,588,1169,0,0,0,58.07614327551251,69.37109937590014,48.08998302207131,325,8,550,1,0,69,3,3,912,5,39,3
SALYAN,BHALCHAUR,1246,18,0,5,6,0,0,10,417,1,28,482,342,0,6,9,1268,5,0,2,1,9,438,814,737,45,0,1,0,4,359,0,2,2,1,1,33,1285,7076,3506,3570,5.506614785992218,98.20728291316526,5,85,1,516,669,9,1260,11,1,1,0,0,12,1260,24,0,1,1682,1811,1332,1313,340,495,10,3,6778,3339,3439,123,68,55,35,20,15,85,45,40,2,2,0,32,19,13,7,2,5,6,5,1,8,6,2,403,209,194,2099,1172,927,818,457,361,399,257,142,148,101,47,133,90,43,10,8,2,4,4,0,2,2,0,101,42,59,9,8,1,6181,3035,3146,3885,2214,1671,81,40,41,2214,781,1433,1,0,1,62.85390713476784,72.9489291598023,53.11506675143038,407,47,731,0,1,42,49,8,1105,88,82,10
SALYAN,CHANDE,847,1,0,1,1,0,0,26,456,0,2,158,231,1,2,26,847,3,0,0,0,26,278,568,532,1,0,0,0,0,272,0,0,0,0,0,30,876,5236,2476,2760,5.9771689497716896,89.71014492753623,2,0,2,232,614,26,836,11,1,1,0,0,27,865,9,0,2,1263,1410,815,784,431,582,17,44,5037,2377,2660,76,39,37,43,23,20,50,23,27,8,3,5,12,4,8,7,5,2,0,0,0,3,2,1,229,117,112,1166,643,523,409,224,185,177,115,62,44,29,15,40,22,18,11,7,4,0,0,0,0,0,0,65,12,53,3,1,2,4544,2128,2416,1803,995,808,411,209,202,2329,924,1405,1,0,1,39.67869718309859,46.75751879699248,33.443708609271525,468,179,119,1,0,83,0,26,782,11,57,26
SALYAN,CHHAYACHHETRA,1268,7,19,1,7,0,0,0,1004,1,1,84,195,16,1,0,1284,2,13,3,0,0,178,1092,909,185,93,11,6,37,713,0,8,14,1,9,32,1302,5697,2511,3186,4.375576036866359,78.8135593220339,519,665,0,68,50,0,1197,102,1,2,0,0,0,1250,42,0,10,1181,1396,985,990,171,344,25,62,5579,2452,3127,30,17,13,8,4,4,32,15,17,1,1,0,28,14,14,4,1,3,6,4,2,9,3,6,187,106,81,1650,855,795,938,467,471,341,165,176,263,141,122,122,64,58,26,17,9,9,9,0,7,3,4,145,46,99,5,2,3,5118,2204,2914,3603,1825,1778,88,34,54,1424,345,1079,3,0,3,70.39859320046892,82.80399274047187,61.015785861358964,734,430,35,21,2,78,2,0,805,343,154,0
SALYAN,DAMACHAUR,1159,5,0,3,0,0,0,5,693,1,15,158,287,15,0,3,1164,4,0,0,0,4,178,988,909,28,0,1,0,3,632,0,1,0,0,0,6,1172,6036,2894,3142,5.150170648464163,92.10693825588797,62,202,3,625,275,5,1147,12,9,0,0,0,4,1152,16,1,3,1260,1371,974,1047,260,298,26,26,5830,2773,3057,109,69,40,31,16,15,25,12,13,2,1,1,19,15,4,10,3,7,6,4,2,4,1,3,166,79,87,1634,833,801,940,517,423,398,221,177,408,238,170,225,133,92,44,36,8,7,7,0,4,2,2,50,26,24,22,9,13,5413,2590,2823,3780,2046,1734,122,61,61,1509,482,1027,2,1,1,69.83188619988915,78.996138996139,61.424017003188105,362,119,679,2,1,3,1,5,559,460,148,5
SALYAN,DANDAGAUN,978,4,1,0,0,0,1,1,419,1,0,283,252,29,0,1,980,2,0,1,0,2,84,868,783,109,15,1,0,6,518,0,1,1,0,0,33,985,4671,2110,2561,4.742131979695431,82.38969152674737,473,316,0,60,135,1,891,91,0,1,0,0,2,973,7,0,5,938,1206,762,886,134,259,42,61,4616,2081,2535,21,14,7,5,3,2,18,6,12,1,1,0,8,4,4,1,1,0,0,0,0,1,0,1,206,119,87,1382,646,736,765,375,390,346,178,168,194,125,69,142,76,66,15,9,6,5,3,2,6,4,2,120,32,88,45,28,17,4145,1833,2312,3160,1560,1600,137,65,72,747,195,552,101,13,88,76.23642943305187,85.1063829787234,69.20415224913495,493,428,54,0,0,10,0,0,590,286,108,1
SALYAN,DARMAKOT,980,0,0,1,3,0,0,5,290,0,0,237,455,1,1,5,979,2,0,1,0,7,436,533,447,36,0,0,0,2,252,0,0,1,0,0,20,989,5430,2619,2811,5.490394337714863,93.16969050160085,1,4,0,389,590,5,975,6,0,1,0,0,7,982,7,0,0,1216,1313,875,884,313,373,28,56,5051,2410,2641,149,91,58,52,27,25,88,43,45,11,3,8,32,17,15,15,7,8,6,5,1,26,16,10,176,90,86,1499,791,708,647,370,277,257,147,110,172,97,75,124,80,44,12,10,2,3,3,0,1,0,1,16,9,7,4,1,3,4728,2276,2452,2740,1509,1231,115,54,61,1871,713,1158,2,0,2,57.95262267343486,66.30052724077329,50.20391517128875,412,11,548,0,0,10,0,8,831,27,126,5
