DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SANKHUWASABHA,ANKHIBHUI,1544,4,2,0,1,0,0,0,1075,0,10,290,147,25,4,0,1190,8,0,351,1,1,291,1251,871,199,25,12,1,31,1110,0,4,1,2,2,9,1551,7323,3340,3983,4.72147001934236,83.85638965603816,1161,384,0,3,3,0,1156,10,25,358,1,0,1,1472,54,3,22,1430,1704,1087,1126,327,557,16,21,7092,3221,3871,90,45,45,49,27,22,44,22,22,2,2,0,15,8,7,11,8,3,5,1,4,15,6,9,145,79,66,2051,1049,1002,1107,519,588,524,274,250,426,230,196,111,71,40,35,29,6,9,6,3,9,5,4,176,99,77,17,7,10,6606,2971,3635,4545,2333,2212,136,66,70,1923,572,1351,2,0,2,68.80108991825612,78.52574890609223,60.852819807427785,1278,242,28,1,0,0,1,1,247,78,1226,0
SANKHUWASABHA,BAHRABISE,606,2,3,0,1,0,0,10,357,0,9,24,177,43,2,10,396,2,0,210,0,14,148,466,411,31,22,4,1,14,311,1,5,1,0,1,8,622,3154,1549,1605,5.070739549839228,96.51090342679127,132,244,0,157,79,10,347,5,18,237,1,0,14,574,27,0,21,782,820,529,505,210,260,43,55,3058,1497,1561,37,20,17,12,9,3,7,4,3,5,4,1,21,9,12,5,2,3,1,0,1,8,4,4,71,42,29,1022,527,495,309,157,152,109,69,40,72,40,32,28,18,10,1,1,0,2,2,0,1,1,0,181,97,84,11,3,8,2856,1390,1466,1694,894,800,147,76,71,1015,420,595,0,0,0,59.31372549019608,64.31654676258994,54.570259208731244,525,71,2,4,0,0,5,15,304,24,284,10
SANKHUWASABHA,BALA,562,2,0,0,0,0,0,3,561,0,2,0,0,1,0,3,546,0,0,15,3,3,84,471,444,3,1,1,0,10,226,0,0,0,0,0,12,567,2828,1331,1497,4.987654320987654,88.91115564462257,3,195,0,198,168,3,423,1,23,111,1,5,3,552,10,3,2,583,667,468,499,110,158,5,10,2749,1291,1458,25,13,12,14,7,7,23,10,13,6,3,3,2,1,1,5,4,1,1,1,0,3,1,2,22,15,7,932,482,450,361,177,184,243,116,127,143,68,75,46,25,21,12,8,4,2,2,0,1,0,1,71,28,43,32,19,13,2557,1204,1353,1812,912,900,143,70,73,600,222,378,2,0,2,70.86429409464216,75.74750830564784,66.51884700665188,534,21,2,2,0,0,5,3,44,117,403,3
SANKHUWASABHA,BANA,1166,8,1,0,2,0,0,6,634,0,86,144,298,15,0,6,688,2,0,485,1,7,210,969,759,192,41,12,3,11,823,0,5,0,0,3,4,1183,5373,2531,2842,4.541842772612004,89.05700211118929,967,176,0,21,13,6,678,2,61,434,0,1,7,1119,30,4,30,1045,1158,778,812,257,333,10,13,5258,2472,2786,45,30,15,12,5,7,23,10,13,0,0,0,20,9,11,10,3,7,3,1,2,2,1,1,45,26,19,1700,861,839,692,350,342,308,181,127,288,155,133,106,67,39,39,30,9,8,5,3,0,0,0,181,95,86,13,7,6,4853,2280,2573,3361,1767,1594,116,53,63,1376,460,916,0,0,0,69.2561302287245,77.5,61.951029926156245,1079,67,19,6,2,0,1,9,255,128,794,6
SANKHUWASABHA,BANESWOR,853,0,7,0,4,0,0,0,601,0,25,151,77,10,0,0,766,2,1,95,0,0,98,764,641,300,15,10,3,11,680,1,3,1,0,0,2,864,4035,1858,2177,4.670138888888889,85.34680753330271,778,82,0,3,1,0,764,2,0,98,0,0,0,823,9,6,26,803,942,641,645,157,285,5,12,3859,1759,2100,43,24,19,41,17,24,46,22,24,0,0,0,17,14,3,9,7,2,3,2,1,17,13,4,109,55,54,1393,681,712,504,264,240,222,135,87,168,98,70,62,42,20,18,12,6,4,3,1,0,0,0,182,72,110,4,1,3,3637,1644,1993,2618,1343,1275,79,34,45,940,267,673,0,0,0,71.9824030794611,81.69099756690997,63.97390868038133,799,62,2,1,0,0,0,0,167,69,628,0
SANKHUWASABHA,CHAINPUR,1073,0,216,0,9,1,3,10,683,0,84,106,417,11,1,10,1075,10,0,208,9,10,148,1145,790,486,344,111,42,207,1019,6,32,20,1,71,19,1312,5802,2752,3050,4.422256097560975,90.22950819672131,1138,160,1,2,1,10,1048,16,4,227,5,2,10,1012,249,8,43,1048,1168,810,813,217,325,21,30,5672,2685,2987,42,20,22,18,7,11,30,19,11,3,2,1,17,9,8,5,3,2,5,1,4,10,6,4,117,64,53,1572,779,793,754,381,373,539,286,253,500,265,235,268,167,101,108,75,33,31,28,3,4,2,2,62,30,32,6,5,1,5286,2490,2796,3871,2034,1837,100,49,51,1313,406,907,2,1,1,73.23117669315172,81.6867469879518,65.70100143061516,795,477,19,8,2,0,1,10,76,277,949,10
SANKHUWASABHA,CHEPUWA,400,1,1,0,1,0,0,1,241,0,0,6,131,24,1,1,236,0,0,24,143,1,132,269,257,19,0,0,0,1,32,0,1,0,0,0,3,404,1739,849,890,4.304455445544554,95.39325842696628,6,67,37,293,0,1,210,0,24,0,0,169,1,395,8,0,1,366,405,238,269,123,125,5,11,1688,822,866,13,6,7,11,5,6,10,8,2,5,3,2,8,4,4,4,1,3,0,0,0,0,0,0,13,8,5,434,213,221,129,73,56,116,78,38,57,40,17,26,19,7,12,10,2,0,0,0,11,11,0,24,10,14,7,2,5,1615,793,822,803,454,349,29,13,16,780,324,456,3,2,1,49.72136222910217,57.250945775535946,42.45742092457421,4,20,2,0,173,3,200,2,181,10,212,1
SANKHUWASABHA,DHUPU,934,6,4,0,0,0,0,2,326,0,44,280,289,5,0,2,635,1,0,301,5,4,158,778,673,33,1,3,18,29,599,0,3,0,0,1,10,946,4202,1987,2215,4.441860465116279,89.70654627539504,7,373,0,488,76,2,585,2,39,315,0,1,4,876,36,1,33,851,967,667,663,171,289,13,15,4124,1937,2187,33,26,7,11,4,7,14,7,7,0,0,0,9,7,2,2,0,2,0,0,0,9,6,3,61,40,21,1295,638,657,623,278,345,249,152,97,237,135,102,72,47,25,24,20,4,5,5,0,1,1,0,283,143,140,30,16,14,3882,1816,2066,2840,1450,1390,66,27,39,969,337,632,7,2,5,73.15816589386914,79.84581497797357,67.27976766698936,859,59,1,1,4,0,15,7,140,82,722,2
SANKHUWASABHA,DIDING,641,0,0,0,0,0,0,1,491,0,27,32,65,26,0,1,370,1,1,262,7,1,104,512,471,27,6,5,0,35,291,1,8,3,0,1,26,642,3036,1503,1533,4.728971962616822,98.04305283757338,2,128,0,397,114,1,327,2,55,254,1,2,1,619,13,0,10,683,693,506,485,172,200,5,8,2935,1448,1487,39,21,18,11,9,2,22,10,12,1,1,0,10,6,4,3,2,1,1,0,1,14,6,8,47,31,16,1034,554,480,459,234,225,195,103,92,89,44,45,52,38,14,9,5,4,2,2,0,0,0,0,143,64,79,3,1,2,2759,1361,1398,1967,1039,928,124,64,60,667,257,410,1,1,0,71.29394708227619,76.34092578986039,66.38054363376253,472,166,3,0,0,0,0,1,66,30,545,1
SANKHUWASABHA,HATIYA,658,0,1,0,0,0,0,2,388,0,0,19,227,24,1,2,429,0,0,39,191,2,339,321,215,2,0,0,0,1,201,0,1,1,1,0,1,661,3073,1477,1596,4.649016641452345,92.54385964912281,7,57,3,519,74,1,421,0,2,52,2,181,3,635,18,1,7,652,740,453,433,193,300,6,7,2989,1438,1551,23,12,11,9,3,6,18,8,10,2,0,2,14,7,7,6,3,3,2,1,1,10,5,5,146,72,74,820,442,378,194,123,71,98,76,22,87,56,31,30,23,7,9,8,1,1,1,0,2,2,0,83,46,37,6,3,3,2753,1316,1437,1308,770,538,77,30,47,1367,516,851,1,0,1,47.511805303305486,58.51063829787234,37.439109255393184,6,55,1,0,190,1,406,2,496,14,150,1
