DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SAPTARI,ARNAHA,33,18,2,875,0,4,1,14,35,864,3,9,1,3,21,11,129,127,16,651,7,17,58,852,396,317,2,11,0,5,503,44,69,754,3,1,37,947,5006,2442,2564,5.286166842661035,95.24180967238689,252,677,4,3,2,9,116,139,18,641,5,7,21,941,4,2,0,1145,1137,799,661,305,456,41,20,4979,2430,2549,6,1,5,3,1,2,1,1,0,2,1,1,3,1,2,4,2,2,8,5,3,0,0,0,99,54,45,1084,582,502,486,285,201,383,267,116,118,58,60,100,60,40,49,42,7,4,3,1,6,3,3,30,7,23,71,47,24,4566,2212,2354,2359,1374,985,149,66,83,2046,766,1280,12,6,6,51.66447656592204,62.11573236889693,41.843670348343245,552,176,119,80,3,0,0,17,774,92,67,14
SAPTARI,AURAHI,10,25,13,1097,3,0,0,5,2,1041,2,2,0,1,100,5,212,296,9,623,0,13,239,855,491,34,1,10,0,1,635,5,79,624,4,0,59,1153,5300,2604,2696,4.5967042497831745,96.58753709198812,17,1105,6,20,0,5,150,279,12,695,4,0,13,1141,5,0,7,1105,1265,714,667,333,543,58,55,5235,2562,2673,28,17,11,12,9,3,6,4,2,0,0,0,6,2,4,10,8,2,0,0,0,3,2,1,94,51,43,1163,619,544,508,305,203,311,237,74,295,229,66,168,117,51,60,54,6,5,5,0,1,0,1,7,5,2,24,16,8,4808,2352,2456,2407,1532,875,394,186,208,2005,632,1373,2,2,0,50.062396006655575,65.1360544217687,35.627035830618894,720,226,71,119,4,0,2,11,1085,36,27,5
SAPTARI,BADGAMA,157,16,35,639,8,1,40,4,0,894,1,1,0,0,0,4,21,170,20,682,1,6,206,648,336,246,29,6,1,8,389,30,73,518,12,6,46,900,4643,2251,2392,5.158888888888889,94.10535117056857,544,340,3,7,2,4,52,157,2,683,0,0,6,855,41,2,2,1002,1059,562,458,421,590,19,11,4567,2202,2365,29,19,10,13,10,3,16,10,6,5,3,2,7,4,3,3,2,1,2,1,1,1,0,1,56,28,28,938,533,405,375,222,153,348,227,121,99,67,32,115,81,34,30,24,6,8,8,0,0,0,0,2,1,1,26,17,9,4174,2024,2150,1973,1193,780,151,65,86,2048,766,1282,2,0,2,47.26880689985625,58.94268774703557,36.27906976744186,558,269,4,62,0,0,1,6,700,58,138,4
SAPTARI,BAIRAWA,352,8,9,390,1,0,0,2,4,743,0,4,1,0,8,2,22,130,43,428,136,3,129,630,389,315,8,8,1,19,272,13,48,502,10,8,3,762,4597,2315,2282,6.032808398950131,101.44609991235758,593,156,1,10,0,2,24,161,11,562,1,0,3,745,0,0,17,1065,1051,569,484,494,562,2,5,4552,2291,2261,15,10,5,9,6,3,7,0,7,1,1,0,8,5,3,4,1,3,0,0,0,1,1,0,52,25,27,985,532,453,463,281,182,203,150,53,204,139,65,86,63,23,52,37,15,8,7,1,2,2,0,2,2,0,4,1,3,4131,2097,2034,2053,1233,820,37,22,15,2041,842,1199,0,0,0,49.697409828128784,58.798283261802574,40.31465093411996,452,237,4,62,4,0,1,2,583,96,81,2
SAPTARI,BAKDHAUWA,1147,27,42,294,44,0,2,84,11,1443,3,95,0,1,4,83,216,349,18,1011,6,40,374,1260,513,563,98,27,3,42,762,21,113,994,8,15,6,1640,8365,4036,4329,5.100609756097561,93.23169323169324,904,627,3,21,1,84,216,332,41,1006,3,2,40,1604,29,0,7,1662,1875,1020,965,545,809,97,101,8256,3984,4272,45,24,21,15,8,7,12,4,8,5,2,3,20,8,12,7,5,2,3,0,3,2,1,1,178,85,93,1452,757,695,888,488,400,587,330,257,565,347,218,232,139,93,78,50,28,10,7,3,9,7,2,130,69,61,166,114,52,7619,3640,3979,4240,2365,1875,375,182,193,2993,1088,1905,11,5,6,55.650347814673836,64.97252747252747,47.12239256094496,642,716,103,121,16,0,0,42,1106,275,200,59
SAPTARI,BAMANGAMAKATTI,534,26,6,759,1,0,0,5,7,1313,0,6,0,1,0,4,220,170,4,931,2,4,326,986,545,442,30,10,0,21,669,6,87,843,1,3,19,1331,8068,4165,3903,6.0616078136739295,106.71278503715091,854,455,3,13,1,5,147,171,11,997,1,0,4,1222,2,2,105,1836,1858,1143,957,653,819,40,82,8034,4147,3887,11,7,4,11,5,6,2,1,1,2,1,1,7,3,4,1,1,0,0,0,0,0,0,0,189,116,73,1573,874,699,787,468,319,763,566,197,218,143,75,241,182,59,140,119,21,28,22,6,7,4,3,14,4,10,5,1,4,7344,3803,3541,3954,2495,1459,65,29,36,3317,1279,2038,8,0,8,53.83986928104575,65.6061004470155,41.203049985879694,947,241,29,106,1,0,0,7,1139,88,99,5
SAPTARI,BANAINIYA,14,14,9,655,0,0,0,8,1,691,0,1,0,0,0,7,88,106,12,483,0,11,97,603,365,173,5,3,0,4,399,11,63,527,2,0,0,700,4012,1971,2041,5.731428571428571,96.5703086722195,58,625,5,4,0,8,81,107,1,499,0,1,11,690,7,0,3,808,914,420,364,380,540,8,10,3983,1957,2026,16,10,6,4,1,3,2,1,1,0,0,0,3,2,1,3,0,3,1,0,1,0,0,0,88,51,37,706,378,328,356,219,137,181,129,52,162,115,47,121,85,36,85,70,15,19,17,2,1,1,0,5,3,2,1,1,0,3625,1787,1838,1681,1044,637,122,50,72,1815,691,1124,7,2,5,46.37241379310345,58.42193620593172,34.657236126224156,440,54,117,73,1,0,4,11,562,66,64,8
SAPTARI,BANARJHULA,194,9,1,643,1,0,0,11,7,835,3,2,1,0,0,11,9,206,84,547,1,12,126,722,332,307,9,11,0,4,475,15,48,596,6,0,11,859,4424,2023,2401,5.150174621653085,84.25655976676384,350,487,4,7,0,11,10,284,8,545,0,0,12,856,1,2,0,819,1023,630,647,183,365,6,11,4409,2015,2394,3,2,1,2,1,1,4,2,2,1,0,1,2,2,0,0,0,0,2,0,2,1,1,0,54,33,21,1034,519,515,437,258,179,239,125,114,298,185,113,136,82,54,72,49,23,5,5,0,2,1,1,35,23,12,9,6,3,4045,1828,2217,2316,1282,1034,63,20,43,1664,525,1139,2,1,1,57.25587144622991,70.13129102844638,46.63960306720794,470,120,100,149,2,0,5,13,750,80,18,11
SAPTARI,BANAULA,32,5,1,566,3,0,0,9,1,599,0,7,0,0,0,9,21,166,27,393,2,7,98,501,199,201,0,4,0,1,428,42,60,425,4,1,17,616,3388,1575,1813,5.5,86.87258687258688,240,365,0,2,0,9,24,175,1,407,1,1,7,613,0,1,2,627,758,485,446,84,160,58,152,3324,1540,1784,23,13,10,13,6,7,9,6,3,0,0,0,8,3,5,2,2,0,2,1,1,7,4,3,70,38,32,661,340,321,338,193,145,195,130,65,208,135,73,72,48,24,65,50,15,6,6,0,30,7,23,6,5,1,17,9,8,2985,1365,1620,1652,950,702,92,50,42,1240,365,875,1,0,1,55.34338358458961,69.59706959706959,43.333333333333336,321,165,55,68,0,0,0,7,527,56,24,9
SAPTARI,BANAULI,29,13,2,991,1,0,0,11,4,1007,0,25,0,0,0,11,31,138,19,847,0,12,113,924,467,399,8,6,0,2,548,47,76,793,1,0,10,1047,5757,2766,2991,5.498567335243553,92.47743229689067,3,1013,2,17,1,11,29,144,3,858,1,0,12,1046,1,0,0,1148,1248,775,641,355,582,18,25,5716,2741,2975,19,11,8,9,6,3,2,0,2,0,0,0,2,1,1,1,1,0,4,4,0,4,2,2,61,33,28,1163,647,516,488,303,185,242,170,72,390,267,123,116,82,34,82,58,24,34,28,6,0,0,0,17,15,2,42,23,19,5178,2476,2702,2486,1553,933,240,130,110,2451,793,1658,1,0,1,48.010814986481265,62.7221324717286,34.5299777942265,509,276,136,87,26,0,0,13,959,29,48,11
SAPTARI,BARAMJHIYA,261,14,7,552,5,0,0,66,9,816,0,11,1,0,2,66,60,131,32,573,1,108,160,629,270,301,47,9,1,7,446,10,41,507,1,15,116,905,4680,2239,2441,5.171270718232044,91.72470299057764,580,240,5,12,2,66,102,124,12,508,1,0,158,900,2,2,1,913,1073,516,509,353,513,44,51,4551,2173,2378,30,19,11,33,10,23,19,11,8,0,0,0,13,8,5,3,3,0,2,1,1,29,14,15,58,33,25,939,497,442,398,242,156,306,172,134,156,104,52,159,101,58,74,50,24,1,0,1,2,0,2,3,1,2,62,35,27,4209,2011,2198,2111,1207,904,294,142,152,1796,659,1137,8,3,5,50.15443098123069,60.019890601690705,41.128298453139216,413,311,22,74,3,0,0,82,672,82,86,65
SAPTARI,BARSAIN (KO.),136,20,3,827,1,0,0,4,41,918,1,2,1,1,23,4,7,118,80,653,124,9,217,760,193,166,8,21,5,9,307,10,52,658,5,4,14,991,5458,2691,2767,5.507568113017155,97.25334297072642,142,835,2,8,0,4,13,124,1,844,0,0,9,989,0,1,1,1071,1169,686,607,362,519,23,43,5372,2631,2741,35,25,10,17,10,7,7,5,2,1,1,0,15,10,5,7,5,2,0,0,0,4,4,0,106,62,44,1070,600,470,539,333,206,274,197,77,181,120,61,116,93,23,93,73,20,19,12,7,3,1,2,41,17,24,17,4,13,4847,2379,2468,2401,1481,920,128,66,62,2313,830,1483,5,2,3,49.53579533732205,62.253047498949144,37.27714748784441,665,160,83,72,2,0,0,9,872,103,12,4
SAPTARI,BASBALPUR,198,15,0,395,0,0,0,7,1,608,0,0,0,0,0,6,10,86,16,446,51,6,81,521,255,154,2,3,0,1,401,6,37,478,7,0,13,615,3151,1420,1731,5.123577235772358,82.03350664355864,14,549,2,4,39,7,7,98,1,481,3,19,6,614,0,0,1,575,710,414,451,154,257,7,2,3109,1397,1712,19,12,7,6,3,3,2,1,1,1,0,1,6,3,3,3,1,2,4,2,2,1,1,0,57,30,27,641,318,323,285,158,127,174,93,81,236,134,102,104,54,50,10,8,2,3,3,0,2,1,1,42,25,17,1,0,1,2885,1294,1591,1337,719,618,225,107,118,1322,468,854,1,0,1,46.34315424610052,55.56414219474498,38.84349465744815,331,96,131,51,0,0,0,6,532,60,16,7
