DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SARLAHI,ACHALGADH,185,10,3,429,0,0,1,14,0,619,0,0,0,0,10,13,32,143,4,446,3,14,222,415,155,92,2,5,0,2,281,2,47,352,0,0,5,642,3870,2008,1862,6.02803738317757,107.84103114930184,119,507,0,2,0,14,30,118,9,471,0,0,14,642,0,0,0,843,825,466,345,295,355,82,125,3805,1969,1836,20,12,8,24,11,13,8,8,0,3,1,2,3,3,0,3,2,1,4,2,2,0,0,0,134,74,60,721,416,305,329,205,124,108,81,27,193,128,65,76,52,24,25,24,1,3,3,0,3,2,1,3,3,0,34,20,14,3380,1754,1626,1540,963,577,110,55,55,1725,734,991,5,2,3,45.562130177514796,54.903078677309004,35.485854858548585,150,4,406,66,1,0,0,15,473,56,99,14
SARLAHI,ARNAHA,127,7,1,502,0,0,0,2,0,634,0,2,1,0,0,2,93,87,3,454,0,2,224,411,97,97,13,9,0,0,250,5,32,351,2,1,4,639,3974,2102,1872,6.219092331768388,112.28632478632478,144,487,2,4,0,2,26,128,9,474,0,0,2,636,2,0,1,874,777,421,283,451,493,2,1,3875,2054,1821,27,13,14,28,13,15,15,8,7,0,0,0,1,0,1,3,1,2,12,6,6,13,7,6,26,23,3,631,337,294,189,133,56,112,82,30,210,147,63,148,113,35,40,34,6,7,7,0,2,2,0,27,22,5,16,12,4,3541,1883,1658,1388,894,494,79,52,27,2074,937,1137,0,0,0,39.197966676080206,47.47742963356346,29.794933655006034,145,2,404,83,2,0,0,3,542,37,58,2
SARLAHI,ATROULI,1223,6,9,7,27,0,0,4,11,33,294,896,0,36,2,4,6,31,10,1222,1,6,184,1035,546,338,9,7,0,0,458,1,61,708,1,2,57,1276,6471,3117,3354,5.071316614420063,92.93381037567084,909,342,4,9,8,4,13,33,175,1041,1,2,11,1263,8,0,5,1458,1586,952,910,457,604,49,72,6328,3039,3289,56,30,26,21,9,12,22,14,8,5,3,2,21,13,8,5,4,1,2,0,2,11,5,6,94,63,31,1453,729,724,704,385,319,322,185,137,296,176,120,99,55,44,24,22,2,4,3,1,0,0,0,21,14,7,6,4,2,5904,2842,3062,2967,1603,1364,326,196,130,2590,1033,1557,21,10,11,50.25406504065041,56.40394088669951,44.54604833442195,124,6,1080,8,0,0,44,14,966,80,226,4
SARLAHI,AURAHI,517,41,3,575,0,0,13,8,45,1070,5,28,2,0,0,7,22,308,8,808,2,9,452,693,245,199,3,4,2,1,452,2,56,597,0,1,12,1157,7167,3592,3575,6.1944684528954195,100.47552447552448,307,832,3,6,1,8,18,221,243,663,3,0,9,1142,1,2,12,1658,1657,827,548,676,881,155,228,7090,3549,3541,30,17,13,9,6,3,13,7,6,2,1,1,9,6,3,4,1,3,0,0,0,10,5,5,9,4,5,1282,766,516,393,279,114,184,138,46,185,144,41,60,49,11,30,25,5,6,6,0,0,0,0,5,3,2,17,7,10,6309,3185,3124,2047,1350,697,281,140,141,3979,1693,2286,2,2,0,32.445712474243145,42.3861852433281,22.311139564660692,177,9,850,91,17,0,0,13,1051,39,59,8
SARLAHI,BABARGANJ,1464,29,6,639,1,0,3,21,23,2071,31,14,0,0,4,20,203,329,27,1557,24,23,568,1571,468,615,40,20,1,26,1014,66,135,1388,27,5,24,2163,11896,6121,5775,5.4997688395746644,105.991341991342,996,1137,3,6,0,21,156,344,10,1625,2,3,23,2152,3,2,6,2697,2558,1639,1301,929,1066,129,191,11765,6041,5724,52,34,18,29,15,14,17,9,8,2,1,1,16,11,5,6,3,3,3,3,0,6,4,2,121,74,47,2536,1421,1115,916,618,298,467,337,130,468,350,118,209,152,57,62,52,10,11,11,0,4,2,2,152,107,45,28,15,13,10528,5441,5087,4931,3115,1816,242,117,125,5321,2192,3129,34,17,17,46.837006079027354,57.250505421797456,35.69884018085315,441,34,1519,118,18,0,4,29,1863,139,141,20
SARLAHI,BAGDAHA,513,19,0,463,1,0,64,42,12,976,1,3,0,0,71,39,41,260,17,700,43,41,188,833,355,178,12,7,2,10,391,5,83,765,3,0,81,1102,6793,3531,3262,6.164246823956443,108.24647455548744,311,740,3,5,1,42,27,253,1,777,0,3,41,1089,2,0,11,1598,1427,654,465,875,881,69,81,6740,3496,3244,24,19,5,11,8,3,4,2,2,0,0,0,12,5,7,2,1,1,0,0,0,0,0,0,59,33,26,1087,689,398,460,321,139,148,113,35,208,152,56,79,58,21,24,22,2,1,1,0,1,1,0,5,2,3,8,4,4,5949,3121,2828,2030,1369,661,378,198,180,3525,1546,1979,16,8,8,34.12338208102202,43.864146107016985,23.37340876944837,161,1,810,79,5,0,0,46,879,66,115,42
SARLAHI,BAHADURPUR,163,17,0,169,1,0,0,12,0,350,0,0,0,0,0,12,1,58,1,291,0,11,202,160,42,4,0,0,0,1,22,0,15,152,0,0,0,362,2018,1042,976,5.574585635359116,106.76229508196722,1,347,0,2,0,12,4,54,1,292,0,0,11,362,0,0,0,466,426,212,149,253,275,1,2,2002,1033,969,4,2,2,5,3,2,1,1,0,2,1,1,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,306,169,137,132,105,27,57,52,5,30,17,13,33,22,11,10,9,1,2,2,0,0,0,0,13,11,2,0,0,0,1791,926,865,583,387,196,29,15,14,1179,524,655,0,0,0,32.55164712451145,41.792656587473004,22.658959537572255,107,1,217,23,1,0,0,13,335,15,0,12
SARLAHI,BALARA,516,36,8,826,2,7,1,48,111,1251,5,14,0,0,17,46,19,224,74,1077,0,50,563,848,527,175,13,10,2,6,250,4,85,644,6,6,33,1444,7646,4054,3592,5.295013850415512,112.86191536748329,623,757,9,7,0,48,24,287,14,1067,2,0,50,1441,2,0,1,1706,1518,694,478,726,803,286,237,7576,4010,3566,26,20,6,20,10,10,11,6,5,2,2,0,3,2,1,4,2,2,2,1,1,2,1,1,21,11,10,1041,606,435,528,310,218,335,218,117,433,283,150,340,227,113,193,148,45,62,48,14,1,1,0,89,39,50,270,142,128,6903,3664,3239,3254,1996,1258,248,128,120,3383,1532,1851,18,8,10,47.1389251050268,54.47598253275109,38.839147885149735,552,6,653,177,6,0,0,50,885,92,419,48
SARLAHI,BARA UDHORAN,125,15,8,754,1,0,0,11,2,897,2,2,0,0,0,11,92,179,1,628,4,10,172,723,435,29,1,1,1,4,388,4,43,599,2,0,19,914,5000,2629,2371,5.470459518599562,110.88148460565162,0,902,1,0,0,11,67,193,1,643,0,0,10,912,1,0,1,1116,1012,627,503,411,444,78,65,4913,2583,2330,35,21,14,23,11,12,12,5,7,0,0,0,12,8,4,1,0,1,2,1,1,2,0,2,45,22,23,1157,639,518,383,243,140,234,175,59,226,155,71,75,59,16,63,46,17,8,8,0,1,1,0,17,11,6,15,7,8,4476,2356,2120,2181,1343,838,99,51,48,2196,962,1234,0,0,0,48.72654155495979,57.00339558573854,39.528301886792455,339,0,455,102,3,0,3,12,742,75,87,10
SARLAHI,BARAHATHAWA,1978,38,364,586,26,0,8,43,507,2483,3,0,2,0,7,41,38,1051,348,1518,42,46,469,2516,1278,1548,677,100,27,229,1892,128,525,1856,28,63,58,3043,18151,9244,8907,5.964837331580677,103.78354103514089,2146,843,2,6,3,43,33,1149,145,1667,2,1,46,2802,203,0,38,3978,4000,2703,2296,1184,1581,91,123,17971,9145,8826,54,36,18,66,29,37,5,3,2,2,2,0,32,18,14,9,6,3,7,4,3,5,1,4,384,236,148,4060,2288,1772,1954,1173,781,1266,779,487,900,585,315,657,398,259,244,194,50,62,54,8,9,4,5,232,149,83,55,36,19,16137,8224,7913,9776,5879,3897,322,146,176,6032,2197,3835,7,2,5,60.5812728512115,71.48589494163424,49.24807279160874,336,27,2044,572,12,0,3,49,1671,1214,115,43
