DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SINDHULI,AMALE,411,0,0,1,0,0,0,3,328,0,0,65,0,19,0,3,237,0,0,173,1,4,101,309,240,29,2,3,0,11,226,1,0,1,0,1,5,415,2261,1047,1214,5.448192771084337,86.24382207578253,13,126,1,147,125,3,227,0,24,157,0,3,4,405,2,2,6,482,551,409,393,72,157,1,1,2184,1011,1173,34,18,16,14,6,8,10,4,6,1,0,1,6,2,4,4,3,1,3,1,2,5,2,3,187,104,83,620,328,292,226,128,98,66,52,14,98,57,41,33,19,14,6,6,0,1,1,0,0,0,0,109,27,82,0,0,0,2004,920,1084,1219,651,568,159,70,89,626,199,427,0,0,0,60.82834331337325,70.76086956521739,52.398523985239855,288,30,92,1,0,0,0,4,371,26,15,3
SINDHULI,ARUNTHAKUR,989,5,0,4,4,0,0,8,456,3,4,240,126,174,0,7,139,1,1,856,2,11,323,596,452,21,2,2,0,46,334,0,2,0,0,0,91,1010,5766,2742,3024,5.708910891089109,90.67460317460318,31,436,1,311,223,8,760,5,75,149,0,10,11,998,4,0,8,1351,1607,899,1000,408,513,44,94,5674,2695,2979,23,13,10,6,2,4,20,11,9,3,1,2,22,16,6,5,0,5,5,3,2,8,1,7,58,23,35,1841,975,866,599,302,297,212,125,87,125,70,55,57,39,18,14,11,3,2,2,0,3,1,2,77,56,21,22,14,8,5108,2401,2707,2951,1590,1361,103,45,58,2054,766,1288,0,0,0,57.772122161315586,66.22240733027905,50.27705947543406,532,78,371,1,14,0,2,12,894,82,26,8
SINDHULI,BAHUNTILPUNG,556,0,1,2,0,0,0,0,520,3,12,23,0,1,0,0,364,2,0,188,3,2,170,386,326,74,22,5,0,76,179,0,9,6,0,1,3,559,3116,1533,1583,5.574239713774597,96.84144030322173,254,140,1,116,48,0,486,1,4,66,0,0,2,550,5,0,4,674,728,510,492,159,230,5,6,3091,1516,1575,11,8,3,2,1,1,2,1,1,0,0,0,2,2,0,4,2,2,2,2,0,2,1,1,71,35,36,825,423,402,344,212,132,145,97,48,143,83,60,92,48,44,15,9,6,7,6,1,3,2,1,147,64,83,3,1,2,2747,1335,1412,1739,956,783,122,62,60,883,316,567,3,1,2,63.3054240990171,71.61048689138578,55.45325779036827,323,23,210,1,0,0,0,2,155,309,95,0
SINDHULI,BALAJOR,721,6,0,1,3,0,2,1,539,1,6,186,1,0,0,1,427,2,2,300,1,2,218,481,445,28,15,0,0,59,152,0,0,0,0,0,35,734,4358,2062,2296,5.937329700272479,89.80836236933798,65,263,1,323,81,1,532,2,120,78,0,0,2,734,0,0,0,867,1023,661,711,164,254,42,58,4325,2041,2284,13,7,6,3,2,1,4,3,1,0,0,0,10,8,2,1,1,0,0,0,0,2,0,2,25,15,10,1306,680,626,501,246,255,161,98,63,236,146,90,94,53,41,8,6,2,0,0,0,1,1,0,66,29,37,18,10,8,3930,1855,2075,2349,1245,1104,155,76,79,1424,533,891,2,1,1,59.770992366412216,67.11590296495957,53.20481927710843,369,7,352,5,0,0,0,1,351,49,333,1
SINDHULI,BASESHWOR,599,4,11,1,3,0,0,2,422,3,0,96,67,30,0,2,605,2,1,11,0,1,139,471,390,111,70,5,1,27,341,0,3,8,0,1,10,620,3200,1557,1643,5.161290322580645,94.76567255021303,323,189,4,34,68,2,603,5,0,11,0,0,1,601,12,1,6,664,684,466,429,184,230,14,25,3078,1489,1589,57,33,24,15,8,7,21,10,11,2,1,1,14,8,6,1,1,0,1,1,0,11,6,5,55,30,25,870,494,376,304,167,137,127,88,39,177,104,73,67,45,22,17,9,8,3,3,0,0,0,0,249,94,155,1,1,0,2837,1370,1467,1849,1024,825,29,11,18,959,335,624,0,0,0,65.17448008459641,74.74452554744525,56.23721881390593,463,35,119,2,0,0,0,1,449,121,48,2
SINDHULI,BASTIPUR,539,1,0,2,0,0,0,3,379,0,0,149,0,13,1,3,440,0,0,102,0,3,184,352,330,23,1,0,0,16,100,0,0,1,0,0,9,545,3029,1366,1663,5.557798165137615,82.14070956103427,8,170,1,155,208,3,438,0,11,92,0,1,3,543,2,0,0,648,851,458,510,111,189,79,152,2969,1337,1632,28,15,13,7,0,7,12,6,6,3,1,2,4,2,2,3,3,0,0,0,0,3,2,1,17,9,8,816,420,396,320,171,149,148,78,70,37,23,14,51,33,18,11,7,4,1,1,0,0,0,0,135,71,64,3,2,1,2699,1195,1504,1532,811,721,58,29,29,1109,355,754,0,0,0,56.76176361615413,67.86610878661088,47.93882978723404,275,227,37,0,2,0,0,4,511,12,19,3
SINDHULI,BELGHARI,704,6,5,9,24,0,0,1,396,39,35,246,3,29,0,1,216,3,0,528,1,1,232,517,466,38,1,4,0,50,298,0,4,8,0,0,0,749,3846,1898,1948,5.134846461949266,97.43326488706366,23,276,3,433,13,1,447,7,90,197,0,7,1,729,9,2,9,891,899,657,661,204,217,30,21,3785,1860,1925,21,14,7,7,3,4,7,5,2,1,1,0,15,9,6,4,1,3,1,1,0,5,4,1,12,7,5,1398,749,649,435,238,197,203,111,92,147,80,67,98,55,43,15,11,4,5,5,0,3,3,0,157,66,91,39,25,14,3505,1718,1787,2492,1337,1155,61,38,23,952,343,609,0,0,0,71.09843081312411,77.82305005820722,64.63346390598768,305,21,420,1,1,0,0,1,522,70,156,1
SINDHULI,BHADRAKALI,811,3,8,0,26,0,0,0,733,2,1,100,0,12,0,0,224,10,1,613,0,0,215,622,495,193,95,9,2,70,332,0,12,3,2,7,11,848,4415,2074,2341,5.206367924528302,88.5946176847501,594,183,3,53,15,0,715,42,16,73,0,2,0,820,16,0,12,931,1009,795,795,134,209,2,5,4327,2025,2302,34,20,14,10,4,6,16,14,2,1,1,0,14,5,9,6,4,2,3,0,3,4,1,3,138,72,66,1108,586,522,636,310,326,291,172,119,295,187,108,63,32,31,23,11,12,0,0,0,1,0,1,179,102,77,0,0,0,4048,1876,2172,2651,1430,1221,20,10,10,1377,436,941,0,0,0,65.48913043478261,76.22601279317696,56.21546961325967,183,105,556,2,1,0,1,0,599,123,126,0
SINDHULI,BHIMESHWOR,402,2,31,0,19,0,0,5,442,0,2,1,0,9,0,5,444,5,1,3,1,5,64,384,287,184,124,7,0,76,260,1,14,3,1,22,11,459,2298,1149,1149,5.006535947712418,100,408,42,2,2,0,5,429,16,0,9,0,0,5,422,37,0,0,444,418,357,299,82,109,5,10,2252,1125,1127,10,4,6,7,5,2,5,2,3,1,0,1,12,9,3,5,2,3,0,0,0,6,2,4,55,34,21,551,291,260,266,167,99,145,92,53,237,144,93,146,84,62,39,28,11,6,5,1,2,1,1,16,7,9,4,2,2,2109,1046,1063,1459,852,607,26,12,14,624,182,442,0,0,0,69.17970602181128,81.45315487571702,57.10253998118533,219,143,85,7,0,0,0,5,160,281,13,5
SINDHULI,BHIMSTHAN,1039,1,10,0,107,0,0,3,983,5,10,135,6,18,0,3,77,1,3,1075,0,4,287,863,776,47,3,1,0,56,444,0,12,7,0,0,10,1160,5780,2710,3070,4.982758620689655,88.27361563517914,3,214,1,734,205,3,675,19,173,282,0,5,6,1130,22,1,7,1145,1351,913,984,214,335,18,32,5683,2658,3025,34,22,12,10,5,5,17,7,10,1,1,0,20,8,12,6,4,2,0,0,0,9,5,4,54,29,25,1809,924,885,671,338,333,278,148,130,364,227,137,233,113,120,33,23,10,16,12,4,1,0,1,112,66,46,1,1,0,5312,2470,2842,3478,1835,1643,172,78,94,1661,557,1104,1,0,1,65.47439759036145,74.2914979757085,57.81140042223786,252,10,871,1,4,0,6,16,595,210,352,3
