DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SINDHUPALCHOWK,ATARPUR,460,0,0,0,0,1,1,2,414,0,32,6,3,0,7,2,458,4,1,0,0,1,52,395,321,187,2,4,0,10,355,10,10,3,0,0,17,464,2182,1034,1148,4.702586206896552,90.06968641114983,444,15,0,0,3,2,452,10,1,0,0,0,1,454,9,0,1,373,406,289,302,81,101,3,3,2175,1031,1144,1,1,0,2,0,2,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,8,1,485,260,225,315,168,147,146,82,64,181,95,86,57,28,29,6,2,4,3,2,1,1,0,1,247,120,127,0,0,0,2034,955,1079,1445,761,684,66,29,37,522,164,358,1,1,0,71.04228121927237,79.68586387434556,63.3920296570899,53,225,176,7,0,0,1,2,164,103,195,2
SINDHUPALCHOWK,BADEGAU,1137,0,6,0,1,0,0,16,608,0,28,135,340,30,4,15,1141,1,0,1,0,17,258,827,522,395,2,7,3,1,667,1,8,0,0,1,75,1160,5353,2534,2819,4.614655172413793,89.89003192621497,1091,52,0,1,0,16,1136,2,2,1,0,0,19,1140,10,0,10,981,1068,721,693,237,340,23,35,5216,2448,2768,61,42,19,20,11,9,21,14,7,3,1,2,18,10,8,6,3,3,6,3,3,2,2,0,215,109,106,1152,633,519,604,318,286,337,187,150,290,171,119,151,87,64,26,19,7,10,8,2,1,1,0,243,131,112,23,15,8,4918,2324,2594,2993,1645,1348,112,64,48,1809,612,1197,4,3,1,60.85807238714924,70.78313253012048,51.96607555898227,11,353,778,1,0,0,0,17,473,264,407,16
SINDHUPALCHOWK,BANSBARI,1019,8,51,0,21,0,0,3,945,0,114,7,33,0,0,3,1024,60,14,0,1,3,203,889,487,327,22,19,16,19,752,2,43,5,0,20,10,1102,5056,2395,2661,4.588021778584392,90.00375798571966,1058,40,0,1,0,3,1017,80,1,0,0,1,3,1041,57,1,3,923,1085,660,685,197,296,66,104,4958,2335,2623,38,24,14,17,9,8,17,11,6,2,2,0,7,2,5,6,4,2,1,1,0,10,7,3,34,18,16,1311,723,588,594,323,271,297,161,136,247,139,108,147,82,65,20,17,3,19,16,3,6,3,3,111,61,50,158,82,76,4673,2194,2479,2906,1603,1303,150,68,82,1617,523,1094,0,0,0,62.18703188529852,73.06289881494986,52.561516740621215,26,744,267,61,0,0,0,4,469,389,241,3
SINDHUPALCHOWK,BANSKHARKA,587,0,1,0,0,0,0,0,454,0,4,33,97,0,0,0,511,3,0,70,0,4,90,447,353,242,1,3,2,2,369,0,3,2,0,0,51,588,2259,1170,1089,3.8418367346938775,107.43801652892562,534,50,0,4,0,0,575,3,3,3,0,0,4,574,3,1,10,459,425,288,264,169,153,2,8,2218,1146,1072,13,8,5,7,3,4,11,6,5,0,0,0,3,2,1,4,2,2,0,0,0,3,3,0,15,10,5,555,339,216,212,134,78,80,42,38,39,24,15,18,14,4,11,9,2,0,0,0,1,0,1,62,34,28,0,0,0,2102,1083,1019,979,598,381,39,23,16,1075,456,619,9,6,3,46.57469077069457,55.21698984302862,37.389597644749756,33,62,487,1,1,0,0,4,253,134,201,0
SINDHUPALCHOWK,BARAMCHI,673,1,28,0,0,0,0,3,697,0,0,2,3,0,0,3,691,10,1,0,0,3,70,626,478,190,7,5,0,4,453,1,0,0,0,0,9,705,3248,1610,1638,4.607092198581561,98.29059829059828,641,59,0,2,0,3,674,24,4,0,0,0,3,637,51,4,13,688,728,539,527,140,176,9,25,3191,1580,1611,13,10,3,11,5,6,16,8,8,1,0,1,9,5,4,2,1,1,1,0,1,4,1,3,36,18,18,792,410,382,364,208,156,174,113,61,125,64,61,51,25,26,14,13,1,9,8,1,0,0,0,276,159,117,2,2,0,2972,1460,1512,1795,995,800,111,52,59,1066,413,653,0,0,0,60.39703903095559,68.15068493150685,52.910052910052904,7,13,677,5,0,0,0,3,295,230,177,3
SINDHUPALCHOWK,BARHABISE,1212,168,289,0,0,8,0,6,1549,0,25,13,90,0,1,5,1295,293,66,26,0,3,274,1402,675,583,420,52,25,84,1241,47,125,30,2,91,7,1683,7117,3519,3598,4.228758169934641,97.80433574207893,1521,151,0,1,4,6,1236,415,15,14,0,0,3,1523,149,3,8,1363,1362,981,927,358,398,24,37,6898,3401,3497,65,37,28,21,10,11,53,22,31,8,6,2,31,20,11,9,2,7,4,2,2,28,19,9,88,41,47,1880,1070,810,866,482,384,455,254,201,504,290,214,296,153,143,58,38,20,30,29,1,9,6,3,327,166,161,5,4,1,6590,3251,3339,4459,2500,1959,157,66,91,1966,683,1283,8,2,6,67.66312594840667,76.89941556444171,58.67026055705301,32,730,505,306,103,0,1,6,467,896,314,6
SINDHUPALCHOWK,BARUWA,482,0,5,0,0,0,0,0,191,0,0,4,292,0,0,0,480,5,1,0,0,1,119,363,294,118,0,2,1,0,234,0,0,1,0,1,5,487,1831,932,899,3.759753593429158,103.67074527252502,457,21,0,9,0,0,479,6,0,0,0,0,2,475,3,0,9,363,366,219,230,139,125,5,11,1767,893,874,23,14,9,16,8,8,11,8,3,0,0,0,8,5,3,1,0,1,1,1,0,4,3,1,14,8,6,416,211,205,110,59,51,33,20,13,31,22,9,10,8,2,4,4,0,0,0,0,2,2,0,31,21,10,1,0,1,1702,866,836,635,346,289,40,21,19,1027,499,528,0,0,0,37.309048178613395,39.95381062355658,34.569377990430624,3,200,247,4,32,0,0,1,210,35,242,0
SINDHUPALCHOWK,BATASE,1144,2,2,0,0,1,0,3,1055,0,14,26,53,1,0,3,1133,3,1,1,0,14,176,964,799,247,28,2,2,5,718,0,2,0,0,1,12,1152,4882,2273,2609,4.237847222222222,87.121502491376,1091,58,0,0,0,3,1113,20,1,0,0,0,18,1143,6,3,0,942,1104,702,714,211,353,29,37,4776,2215,2561,35,21,14,14,4,10,23,16,7,0,0,0,19,8,11,5,3,2,4,3,1,6,3,3,67,36,31,1170,630,540,490,252,238,221,116,105,161,95,66,72,28,44,11,7,4,7,7,0,0,0,0,401,182,219,12,5,7,4480,2056,2424,2500,1306,1194,156,62,94,1814,685,1129,10,3,7,55.80357142857143,63.521400778210115,49.257425742574256,16,193,923,2,0,0,0,18,335,458,356,3
SINDHUPALCHOWK,BHIMTAR,786,2,13,0,90,0,0,1,820,0,6,45,19,1,0,1,871,14,5,0,0,2,234,641,294,221,4,4,1,7,569,1,14,3,0,4,17,892,4526,2084,2442,5.073991031390134,85.33988533988534,797,93,1,0,0,1,856,34,0,0,0,0,2,887,4,0,1,974,1140,701,692,264,432,9,16,4437,2038,2399,43,28,15,19,6,13,5,4,1,0,0,0,9,4,5,4,1,3,3,0,3,6,3,3,126,69,57,1449,746,703,449,251,198,175,113,62,75,50,25,44,30,14,11,8,3,1,0,1,2,1,1,147,42,105,3,1,2,4112,1890,2222,2406,1269,1137,112,54,58,1594,567,1027,0,0,0,58.511673151750976,67.14285714285714,51.170117011701166,4,468,405,13,0,0,0,2,344,417,130,1
SINDHUPALCHOWK,BHOTASIPA,978,3,3,0,5,1,0,4,928,0,8,39,12,2,1,4,983,5,0,0,0,6,211,765,565,308,5,6,1,4,621,3,7,4,0,2,18,994,4618,2084,2534,4.645875251509055,82.24151539068666,944,45,0,1,0,4,979,9,0,0,0,0,6,987,6,0,1,880,1119,671,761,194,328,15,30,4556,2041,2515,26,18,8,14,9,5,9,8,1,0,0,0,4,2,2,1,0,1,1,1,0,7,5,2,46,24,22,1175,602,573,539,282,257,296,140,156,97,54,43,65,36,29,14,10,4,6,6,0,3,3,0,316,147,169,8,4,4,4144,1841,2303,2532,1291,1241,51,22,29,1560,528,1032,1,0,1,61.100386100386096,70.12493210211841,53.88623534520192,26,781,178,1,2,0,0,6,412,312,266,4
