DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SIRAHA,ARNAMALALPUR,325,15,5,1362,0,0,10,14,3,1695,3,14,0,0,2,14,52,257,37,1002,366,17,388,1271,497,465,24,9,0,4,881,95,95,1040,4,2,72,1731,9241,4444,4797,5.338532640092432,92.64123410464875,1010,699,0,8,0,14,17,293,33,1249,2,120,17,1719,1,8,3,1909,2048,1246,1079,585,871,78,98,9077,4354,4723,47,24,23,35,22,13,27,10,17,7,4,3,11,7,4,19,13,6,4,3,1,14,7,7,126,78,48,1640,874,766,842,482,360,468,311,157,383,227,156,207,164,43,81,70,11,13,11,2,5,5,0,121,80,41,7,5,2,8106,3858,4248,3763,2232,1531,153,78,75,4169,1540,2629,21,8,13,46.42240315815445,57.8538102643857,36.04048964218456,845,142,632,89,5,0,0,18,1627,72,18,14
SIRAHA,ARNAMARAMPUR,60,1,8,626,2,0,0,16,5,696,0,0,0,0,0,12,8,175,34,493,3,0,141,567,413,446,5,2,1,2,521,2,47,333,0,0,5,713,3529,1565,1964,4.949509116409537,79.68431771894093,652,40,3,2,0,16,6,205,3,496,0,3,0,705,4,0,4,712,873,494,481,190,304,28,88,3501,1547,1954,13,8,5,6,5,1,3,1,2,0,0,0,1,0,1,1,1,0,2,2,0,2,1,1,93,62,31,755,369,386,262,155,107,131,76,55,106,68,38,95,60,35,19,16,3,6,6,0,1,1,0,12,4,8,2,1,1,3111,1356,1755,1461,802,659,52,26,26,1590,526,1064,8,2,6,46.962391513982645,59.14454277286135,37.54985754985755,230,8,340,130,2,0,0,3,613,72,12,16
SIRAHA,ASANPUR,1654,17,369,460,1,0,1,8,182,1807,9,232,0,0,272,8,147,1166,274,860,52,11,392,2081,824,1157,729,136,25,140,1458,88,360,1491,23,115,37,2510,12926,6477,6449,5.149800796812749,100.4341758412157,1839,524,71,7,61,8,115,1397,48,936,1,2,11,2228,202,4,76,2546,2638,1821,1605,679,968,46,65,12796,6400,6396,49,30,19,22,10,12,24,15,9,0,0,0,14,9,5,4,2,2,1,1,0,16,10,6,208,124,84,2667,1423,1244,1422,761,661,999,560,439,930,550,380,653,433,220,239,190,49,95,80,15,6,4,2,155,66,89,29,14,15,11727,5845,5882,7345,4165,3180,138,83,55,4238,1594,2644,6,3,3,62.63323953270231,71.25748502994011,54.06324379462768,354,124,1300,699,15,0,5,13,1158,800,544,8
SIRAHA,ASHOKPUR BALKAWA,620,4,9,285,2,1,2,7,4,913,0,4,0,0,2,7,64,237,2,526,91,10,332,592,178,231,3,13,0,5,476,8,67,389,7,10,6,930,5127,2461,2666,5.512903225806451,92.31057764441111,442,478,1,2,0,7,52,236,54,554,1,6,27,894,11,1,24,1113,1277,657,565,435,689,21,23,5068,2429,2639,11,8,3,8,3,5,7,5,2,1,1,0,17,8,9,9,5,4,3,0,3,3,2,1,126,55,71,954,518,436,513,281,232,285,175,110,157,103,54,80,59,21,18,13,5,5,4,1,5,1,4,26,17,9,5,1,4,4493,2130,2363,2111,1189,922,232,109,123,2150,832,1318,0,0,0,46.98419764077454,55.821596244131456,39.01819720694033,91,34,681,101,6,0,2,15,742,137,44,7
SIRAHA,AURAHI,27,13,12,940,7,0,1,10,8,992,0,0,0,0,0,10,59,138,23,770,7,13,254,742,520,83,0,1,0,2,259,2,75,624,4,1,14,1010,5685,2789,2896,5.628712871287129,96.30524861878453,7,957,2,34,0,10,14,165,217,599,1,0,14,1008,2,0,0,1202,1289,704,604,469,653,29,32,5660,2774,2886,10,7,3,3,3,0,4,2,2,1,0,1,4,2,2,0,0,0,1,0,1,2,1,1,64,31,33,1159,633,526,518,337,181,209,154,55,258,184,74,147,120,27,83,67,16,15,9,6,3,2,1,21,4,17,24,13,11,5039,2460,2579,2430,1520,910,137,63,74,2470,876,1594,2,1,1,48.22385393927367,61.78861788617886,35.284994183792165,685,57,131,109,10,0,3,15,855,105,40,10
SIRAHA,AYODHYANAGAR,643,9,0,187,0,1,0,2,45,205,1,588,1,0,1,1,41,136,27,635,1,2,104,729,406,400,7,23,2,4,511,14,78,608,10,0,9,842,4433,2244,2189,5.264845605700713,102.51256281407035,712,117,1,10,0,2,49,161,82,546,1,0,3,827,5,2,8,1002,986,688,591,276,353,38,42,4379,2215,2164,15,7,8,11,6,5,5,2,3,0,0,0,6,5,1,8,4,4,3,1,2,6,4,2,72,41,31,971,542,429,483,292,191,176,100,76,190,126,64,115,82,33,40,34,6,5,5,0,6,4,2,52,28,24,18,11,7,3979,2008,1971,2103,1257,846,104,55,49,1771,696,1075,1,0,1,52.852475496355865,62.5996015936255,42.922374429223744,140,37,611,47,2,0,2,3,758,25,57,2
SIRAHA,BADHARAMAL,3006,30,68,205,18,0,1,18,204,3100,9,9,1,1,5,17,114,492,88,2626,3,23,939,2397,1133,1556,336,57,7,30,2022,28,194,1235,33,48,10,3346,16482,7945,8537,4.925881649731022,93.06547967670141,2353,952,4,18,1,18,66,646,12,2594,2,2,24,3264,64,4,14,3408,3651,2259,1951,986,1455,163,245,16029,7718,8311,102,55,47,202,89,113,55,29,26,5,2,3,35,24,11,18,9,9,6,4,2,30,15,15,188,109,79,3332,1833,1499,1598,857,741,1074,635,439,815,486,329,410,250,160,109,76,33,39,32,7,6,4,2,221,131,90,43,20,23,14682,7013,7669,7669,4351,3318,528,276,252,6483,2386,4097,2,0,2,52.23402806157199,62.041922144588625,43.26509323249446,621,72,2383,228,11,0,3,28,2393,511,424,18
SIRAHA,BARCHHAWA,167,8,3,554,0,0,0,5,1,729,0,2,0,0,0,5,6,99,22,600,0,10,196,508,197,213,25,10,3,4,353,90,73,384,1,3,33,737,3701,1721,1980,5.021709633649932,86.91919191919192,471,261,1,0,0,4,7,106,13,601,0,0,10,684,3,0,50,736,857,359,344,316,449,61,64,3658,1696,1962,11,7,4,7,3,4,12,7,5,1,0,1,2,2,0,5,4,1,2,1,1,3,1,2,18,10,8,543,299,244,284,150,134,152,98,54,97,61,36,85,51,34,50,42,8,13,13,0,1,1,0,23,12,11,14,8,6,3298,1508,1790,1249,722,527,178,92,86,1842,682,1160,29,12,17,37.87143723468769,47.87798408488064,29.441340782122904,345,19,295,52,12,0,1,13,632,27,73,5
SIRAHA,BARIYARPATTI,58,10,20,731,7,2,77,1,9,864,4,28,0,0,0,1,24,124,37,624,96,1,238,668,452,163,12,5,0,10,440,21,62,545,29,1,0,906,5129,2535,2594,5.661147902869757,97.72552043176562,528,364,0,13,0,1,29,160,4,710,0,2,1,869,23,14,0,1100,1161,679,554,419,606,2,1,5059,2492,2567,25,16,9,17,12,5,9,3,6,1,1,0,8,6,2,5,2,3,0,0,0,5,3,2,155,81,74,972,547,425,424,288,136,263,187,76,226,154,72,81,68,13,22,21,1,7,6,1,4,3,1,16,12,4,3,2,1,4497,2220,2277,2039,1304,735,137,74,63,2321,842,1479,0,0,0,45.341338670224594,58.73873873873874,32.27931488801054,570,68,166,94,2,0,4,2,821,63,21,1
SIRAHA,BASTIPUR,528,5,4,610,5,0,0,6,4,900,1,248,0,0,0,5,17,218,8,909,1,5,246,909,350,429,12,13,1,6,593,34,60,777,11,7,3,1158,6361,3128,3233,5.493091537132988,96.75224249922672,856,294,2,0,0,6,10,217,10,914,1,1,5,1150,2,3,3,1356,1429,926,836,413,567,17,26,6185,3026,3159,51,37,14,70,30,40,9,6,3,3,2,1,17,10,7,6,2,4,7,5,2,13,10,3,117,59,58,1439,785,654,659,394,265,297,198,99,337,221,116,139,107,32,38,33,5,7,7,0,1,1,0,17,8,9,14,7,7,5707,2772,2935,2958,1768,1190,145,58,87,2597,944,1653,7,2,5,51.83108463290695,63.78066378066378,40.54514480408859,393,41,633,50,30,0,2,9,1073,36,43,6
SIRAHA,BELAHA,396,5,22,595,0,0,10,8,194,832,0,1,1,0,0,8,50,355,184,438,2,7,123,861,478,650,46,27,6,50,705,28,183,625,5,13,52,1036,6240,2850,3390,6.023166023166024,84.070796460177,794,232,0,2,0,8,38,538,56,380,2,15,7,1035,1,0,0,1315,1513,898,762,370,605,47,146,6166,2819,3347,28,17,11,18,5,13,7,2,5,5,2,3,6,2,4,5,2,3,4,1,3,1,0,1,80,50,30,1403,754,649,563,315,248,302,190,112,269,176,93,110,75,35,66,51,15,20,19,1,3,2,1,54,19,35,10,6,4,5397,2427,2970,2759,1590,1169,121,61,60,2517,776,1741,0,0,0,51.120993144339444,65.51297898640297,39.36026936026936,269,49,281,421,5,0,4,7,627,281,120,8
SIRAHA,BELHI,95,5,3,718,0,0,2,1,4,809,1,9,0,0,0,1,3,222,7,591,0,1,91,679,312,177,1,7,0,2,570,32,69,550,2,1,54,824,4014,1885,2129,4.871359223300971,88.53922029121654,602,213,1,7,0,1,3,227,1,592,0,0,1,821,0,1,2,800,929,524,447,127,269,149,213,3968,1863,2105,15,8,7,8,2,6,7,3,4,0,0,0,6,4,2,6,4,2,3,0,3,1,1,0,62,33,29,725,391,334,383,213,170,185,129,56,240,153,87,94,75,19,41,38,3,5,4,1,2,1,1,9,3,6,4,3,1,3587,1673,1914,1743,1037,706,89,38,51,1751,597,1154,4,1,3,48.59213827711179,61.98445905558876,36.886102403343784,197,45,503,76,2,0,0,1,768,29,26,1
