DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SOLUKHUMBU,BAKU,956,4,1,0,1,0,0,1,823,1,3,44,83,8,0,1,954,0,0,8,0,1,255,698,652,25,0,1,0,12,255,0,0,0,0,0,10,963,4844,2380,2464,5.030114226375908,96.5909090909091,306,241,64,283,68,1,914,0,11,36,0,0,2,941,14,1,7,1074,1144,785,819,284,324,5,1,4684,2297,2387,40,20,20,20,8,12,40,19,21,5,4,1,29,18,11,7,3,4,2,0,2,17,11,6,137,59,78,1554,852,702,488,245,243,181,99,82,141,79,62,59,30,29,16,9,7,1,0,1,0,0,0,119,59,60,2,2,0,4346,2126,2220,2543,1370,1173,129,61,68,1674,695,979,0,0,0,58.51357570179475,64.44026340545625,52.83783783783784,687,154,27,0,81,0,12,2,163,31,768,1
SOLUKHUMBU,BASA,675,0,0,0,0,0,0,1,656,0,4,8,0,7,0,1,669,1,1,1,0,4,141,522,492,26,1,3,0,9,226,0,1,0,0,0,13,676,3256,1574,1682,4.816568047337278,93.57907253269917,659,14,0,2,0,1,659,3,1,5,4,0,4,652,21,3,0,651,743,542,580,108,160,1,3,3195,1535,1660,24,17,7,11,6,5,10,9,1,4,2,2,10,4,6,2,1,1,0,0,0,0,0,0,137,58,79,964,512,452,393,222,171,152,79,73,165,87,78,89,53,36,18,16,2,5,5,0,0,0,0,98,52,46,1,1,0,2932,1410,1522,1952,1051,901,43,22,21,935,336,599,2,1,1,66.57571623465212,74.53900709219859,59.19842312746386,71,156,11,3,428,0,3,4,132,32,511,1
SOLUKHUMBU,BENI,387,3,0,0,1,2,0,2,357,0,1,2,14,18,1,2,369,0,0,24,0,2,13,363,338,61,19,7,5,24,271,0,0,0,0,0,19,395,1575,754,821,3.9873417721518987,91.83922046285018,262,70,0,61,0,2,361,0,28,2,1,1,2,285,77,4,29,321,331,224,231,96,100,1,0,1548,738,810,13,8,5,1,0,1,4,3,1,0,0,0,3,1,2,2,1,1,3,2,1,1,1,0,47,24,23,519,291,228,195,106,89,88,37,51,78,47,31,46,30,16,13,12,1,1,1,0,0,0,0,69,37,32,0,0,0,1452,691,761,1037,576,461,36,15,21,377,100,277,2,0,2,71.41873278236915,83.3574529667149,60.578186596583436,7,91,1,0,294,0,0,2,27,53,313,2
SOLUKHUMBU,BHAKANJE,281,2,1,0,0,1,0,0,225,0,1,4,28,22,5,0,269,0,0,15,1,0,48,237,216,53,3,0,0,25,156,0,0,0,0,0,0,285,1294,632,662,4.540350877192982,95.46827794561933,236,34,0,15,0,0,257,1,12,11,2,2,0,226,48,2,9,260,278,190,196,68,81,2,1,1263,612,651,14,11,3,9,4,5,3,2,1,0,0,0,3,2,1,1,0,1,1,1,0,0,0,0,30,12,18,387,208,179,143,89,54,62,45,17,51,29,22,37,22,15,4,2,2,2,2,0,1,1,0,28,16,12,1,1,0,1157,575,582,712,412,300,62,27,35,383,136,247,0,0,0,61.53846153846154,71.65217391304348,51.546391752577314,11,55,31,0,168,0,20,0,115,37,133,0
SOLUKHUMBU,BUNG,976,5,0,0,0,0,1,0,859,0,3,43,72,4,1,0,937,2,1,38,4,0,256,723,693,10,3,0,0,11,352,0,1,0,0,0,3,982,4520,2247,2273,4.60285132382892,98.85613726352838,3,315,46,225,393,0,902,3,8,67,0,2,0,941,35,1,5,1055,1100,646,608,405,489,4,3,4445,2199,2246,26,18,8,13,10,3,8,5,3,2,1,1,5,1,4,5,4,1,8,4,4,8,5,3,58,26,32,1585,872,713,398,240,158,203,123,80,30,21,9,65,48,17,20,15,5,0,0,0,1,1,0,21,13,8,2,2,0,3908,1936,1972,2271,1307,964,254,112,142,1380,516,864,3,1,2,58.111566018423744,67.5103305785124,48.88438133874239,543,117,1,0,21,1,298,1,555,14,413,0
SOLUKHUMBU,CHAULAKHARKA,429,0,0,0,0,0,0,1,377,0,0,8,35,7,2,1,420,0,0,8,0,2,62,367,353,51,0,0,0,15,216,0,1,0,0,0,1,430,2012,974,1038,4.67906976744186,93.83429672447014,330,95,0,3,1,1,421,0,2,4,1,0,2,409,19,1,1,428,467,333,357,88,104,7,6,1918,930,988,47,28,19,20,5,15,15,7,8,3,1,2,5,1,4,1,0,1,2,2,0,1,0,1,38,17,21,517,281,236,269,145,124,137,72,65,56,38,18,48,26,22,11,8,3,2,1,1,1,0,1,2,1,1,1,0,1,1858,895,963,1045,569,476,25,14,11,788,312,476,0,0,0,56.243272335845,63.57541899441341,49.428868120456904,3,109,158,2,137,0,17,4,94,95,240,1
SOLUKHUMBU,CHAURIKHARKA,923,11,19,0,0,14,0,1,828,0,0,8,46,85,0,1,848,22,0,94,1,3,92,865,625,99,330,56,33,99,754,0,1,1,2,75,11,968,3709,1872,1837,3.831611570247934,101.90528034839413,873,73,1,20,0,1,782,48,111,23,0,1,3,509,438,19,2,723,781,424,433,293,338,6,10,3628,1827,1801,27,19,8,10,5,5,17,11,6,6,3,3,12,5,7,2,1,1,2,0,2,5,1,4,55,33,22,1261,714,547,502,303,199,206,116,90,126,81,45,92,52,40,24,15,9,6,5,1,0,0,0,50,8,42,3,3,0,3371,1701,1670,2287,1307,980,77,49,28,1004,342,662,3,3,0,67.84336991990507,76.83715461493239,58.68263473053892,4,647,6,0,266,0,41,4,77,190,700,1
SOLUKHUMBU,CHHESKAM,807,1,0,0,0,0,0,1,684,0,10,34,79,0,1,1,766,1,0,30,11,1,290,518,444,14,0,1,0,6,262,0,0,0,0,1,1,809,3767,1810,1957,4.65636588380717,92.48850281042412,638,93,30,19,28,1,748,0,0,51,0,9,1,804,4,0,1,864,936,604,619,246,297,14,20,3727,1788,1939,20,11,9,6,2,4,2,2,0,3,1,2,4,1,3,2,2,0,2,2,0,1,1,0,98,35,63,1146,590,556,290,202,88,126,94,32,51,37,14,39,29,10,7,5,2,1,1,0,2,2,0,105,56,49,4,2,2,3290,1599,1691,1824,1034,790,141,74,67,1324,491,833,1,0,1,55.44072948328268,64.66541588492808,46.71791839148433,523,66,1,1,15,0,202,1,762,11,35,1
SOLUKHUMBU,DEUSA,872,1,0,0,0,0,0,2,819,0,8,20,10,11,5,2,847,0,0,23,3,2,263,610,534,15,1,2,0,12,340,0,0,0,0,0,2,875,4130,2002,2128,4.72,94.07894736842105,297,243,1,199,133,2,839,0,2,32,0,0,2,851,11,1,12,891,942,673,698,213,237,5,7,3990,1925,2065,36,21,15,9,5,4,37,19,18,3,1,2,21,14,7,9,4,5,0,0,0,25,13,12,146,84,62,1298,725,573,515,259,256,240,110,130,122,68,54,74,38,36,21,13,8,1,1,0,4,3,1,78,36,42,8,3,5,3748,1806,1942,2332,1243,1089,230,107,123,1185,455,730,1,1,0,62.21985058697972,68.82613510520488,56.07621009268795,600,135,134,0,1,0,3,2,165,47,661,2
SOLUKHUMBU,GARMA,467,0,0,0,0,5,0,0,455,0,2,4,5,6,0,0,467,0,5,0,0,0,37,435,416,73,0,5,1,17,335,1,1,0,0,1,0,472,2047,984,1063,4.336864406779661,92.56820319849483,416,53,0,2,1,0,466,4,2,0,0,0,0,364,96,11,1,429,449,302,292,127,157,0,0,2025,968,1057,11,7,4,7,6,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,7,2,5,540,289,251,301,162,139,116,62,54,120,75,45,38,17,21,11,9,2,0,0,0,0,0,0,53,35,18,0,0,0,1906,908,998,1132,627,505,106,52,54,668,229,439,0,0,0,59.39139559286464,69.05286343612335,50.60120240480962,39,339,32,0,60,0,2,0,95,206,171,0
