DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SUNSARI,EKAMBA,248,19,318,1336,43,3,11,5,131,1801,0,7,12,0,27,5,202,280,407,645,446,3,119,1864,679,1344,129,78,66,49,1529,14,204,1700,24,87,0,1983,8861,4149,4712,4.4684820978315685,88.05178268251274,1563,388,8,9,10,5,37,565,115,1255,2,6,3,1901,68,3,11,1633,1829,1199,1235,428,588,6,6,8731,4069,4662,62,40,22,14,9,5,16,4,12,1,1,0,18,13,5,6,3,3,2,2,0,11,8,3,202,114,88,1920,1048,872,1267,679,588,866,487,379,743,386,357,248,136,112,99,65,34,16,15,1,0,0,0,323,144,179,4,2,2,8248,3867,4381,5598,3027,2571,121,52,69,2528,788,1740,1,0,1,67.87099903006789,78.277734678045,58.68523168226433,298,1408,10,249,2,0,2,14,437,848,693,5
SUNSARI,AMADUWA,204,28,4,1495,2,1,92,11,12,1799,1,10,3,0,1,11,16,93,360,348,1006,14,167,1664,550,677,478,12,0,28,966,15,114,1597,8,4,6,1837,9216,4699,4517,5.0168753402286335,104.0292229355767,1335,463,2,25,1,11,12,109,71,1570,4,56,15,1727,3,2,105,2076,1970,1214,1107,840,839,22,24,9069,4610,4459,54,33,21,21,12,9,12,6,6,2,1,1,19,13,6,18,10,8,5,5,0,16,9,7,260,130,130,2090,1249,841,1018,639,379,611,378,233,374,222,152,109,83,26,33,29,4,10,9,1,1,1,0,81,48,33,24,9,15,8353,4276,4077,4467,2728,1739,77,33,44,3807,1514,2293,2,1,1,53.4777924099126,63.79794200187091,42.65391219033603,697,1082,12,24,2,0,2,18,1671,100,55,11
SUNSARI,AMAHIBELAHA,126,2,26,1195,16,33,27,6,38,1382,1,3,0,0,1,6,16,172,107,404,720,12,162,1252,454,607,111,7,0,16,844,40,132,1093,10,2,17,1431,7155,3599,3556,5,101.20922384701912,1101,320,0,4,0,6,24,172,3,1214,1,5,12,1377,7,3,44,1436,1531,1001,943,416,569,19,19,7038,3530,3508,44,26,18,19,15,4,9,6,3,6,4,2,22,10,12,7,4,3,0,0,0,10,4,6,263,140,123,1687,948,739,773,420,353,367,209,158,467,293,174,155,105,50,66,53,13,4,3,1,0,0,0,163,103,60,6,5,1,6474,3251,3223,3836,2215,1621,108,53,55,2525,981,1544,5,2,3,59.252394192153226,68.13288219009536,50.29475643810115,348,1006,6,45,2,0,0,24,1058,326,41,6
SUNSARI,AURABANI,243,21,93,1283,12,0,66,1,5,1709,1,3,0,0,0,1,6,140,290,908,374,1,213,1503,570,852,320,61,7,30,967,31,232,1332,44,26,3,1719,7938,3869,4069,4.617801047120419,95.08478741705578,1305,402,2,8,1,1,10,204,1,1496,2,5,1,1675,42,0,2,1401,1515,967,908,423,600,11,7,7778,3789,3989,44,25,19,39,18,21,18,6,12,1,0,1,22,11,11,10,5,5,9,4,5,17,11,6,208,108,100,1909,1060,849,854,474,380,574,352,222,740,419,321,155,113,42,81,68,13,7,7,0,0,0,0,102,41,61,5,4,1,7244,3506,3738,4559,2603,1956,42,23,19,2643,880,1763,0,0,0,62.93484262838211,74.24415288077581,52.32744783306581,630,1009,3,73,2,0,0,2,1335,156,227,1
SUNSARI,BABIYA,612,10,37,849,10,0,23,4,17,1469,4,2,0,0,49,4,14,197,273,814,244,3,186,1356,564,684,124,16,1,32,1021,93,175,1178,46,39,3,1545,8526,4220,4306,5.518446601941748,98.00278680910358,1027,503,4,7,0,4,14,218,1,1307,0,2,3,1517,13,2,13,1867,1957,1238,1162,618,784,11,11,8452,4168,4284,29,22,7,13,8,5,2,1,1,0,0,0,15,11,4,6,4,2,1,1,0,8,5,3,103,51,52,2293,1275,1018,941,553,388,512,309,203,489,309,180,129,101,28,40,32,8,7,7,0,0,0,0,8,4,4,4,2,2,7611,3773,3838,4431,2588,1843,155,73,82,3024,1112,1912,1,0,1,58.218368151359876,68.59263185793797,48.01980198019802,249,1177,14,92,8,0,1,4,1073,355,113,4
SUNSARI,BAKALAURI,2538,21,146,268,103,3,2,11,257,2646,10,80,79,2,7,11,15,138,186,2587,151,15,244,2833,1160,1977,157,77,9,59,1960,36,297,2524,22,99,15,3092,13903,6459,7444,4.4964424320827945,86.76786673831273,2505,560,6,7,3,11,28,229,614,2184,2,20,15,2994,42,4,52,2613,2836,1928,1938,670,883,15,15,13685,6348,7337,72,36,36,23,14,9,33,12,21,4,3,1,40,18,22,18,11,7,10,6,4,18,11,7,347,183,164,3152,1710,1442,2005,1053,952,1452,752,700,934,484,450,322,185,137,89,65,24,9,8,1,0,0,0,258,135,123,6,4,2,12886,5943,6943,8499,4543,3956,172,81,91,4215,1319,2896,0,0,0,65.95530032593513,76.44287396937574,56.97825147630707,684,2254,37,83,5,0,4,25,1538,728,815,11
SUNSARI,BARAHACHHETRA,2717,2,168,4,80,17,2,23,2513,184,12,178,4,35,52,35,487,354,71,1983,52,66,380,2594,1306,1552,576,93,14,179,2261,45,226,1202,9,255,39,3013,12499,5781,6718,4.148357119150348,86.05239654659125,2701,215,12,8,41,36,318,405,155,2052,2,15,66,2630,192,96,95,2236,2453,1805,1780,414,634,17,39,12200,5621,6579,92,57,35,35,23,12,59,31,28,6,3,3,54,25,29,16,9,7,7,2,5,30,10,20,286,139,147,3364,1711,1653,1928,959,969,1215,630,585,1090,569,521,298,175,123,68,56,12,27,24,3,1,0,1,520,247,273,7,4,3,11501,5284,6217,8704,4475,4229,216,83,133,2577,725,1852,4,1,3,75.68037561951134,84.6896290688872,68.02316229692778,352,2446,17,107,4,0,16,71,1177,1008,792,36
SUNSARI,BASANTAPUR,23,13,1,851,2,0,0,5,4,859,0,9,1,0,17,5,1,78,66,293,453,4,118,769,184,100,2,4,0,1,401,5,86,714,1,0,8,895,5705,2932,2773,6.374301675977653,105.73386224305806,482,399,1,8,0,5,5,92,65,728,1,0,4,891,2,2,0,1335,1285,837,768,478,489,20,28,5620,2885,2735,24,15,9,10,7,3,5,4,1,0,0,0,20,8,12,11,3,8,6,5,1,9,5,4,250,138,112,1535,846,689,488,278,210,246,149,97,240,149,91,76,51,25,36,30,6,2,2,0,0,0,0,2,1,1,12,6,6,4928,2499,2429,2846,1630,1216,65,27,38,2016,841,1175,1,1,0,57.75162337662337,65.22609043617447,50.0617538081515,169,694,0,25,1,0,2,4,736,131,23,5
SUNSARI,BHADGAUN SINAWARI,1572,23,1353,712,153,3,4,17,82,3719,8,7,0,0,4,17,120,1467,674,1316,242,18,151,3671,1410,2843,557,241,53,285,3068,71,542,2851,75,453,15,3837,17268,8069,9199,4.500390930414386,87.7160560930536,3466,328,6,17,4,16,99,1865,43,1801,2,8,19,3384,412,29,12,2976,3336,2186,2201,770,1103,20,32,17100,7982,9118,74,46,28,22,7,15,18,9,9,3,2,1,26,11,15,14,5,9,4,2,2,7,5,2,368,216,152,3161,1577,1584,2091,1059,1032,1928,969,959,1797,905,892,736,413,323,352,251,101,84,66,18,3,2,1,1065,484,581,50,28,22,15959,7396,8563,11592,5950,5642,536,254,282,3824,1190,2634,7,2,5,72.63613008333856,80.44889129259059,65.88812332126591,184,2342,14,1255,5,0,13,24,815,2315,691,16
SUNSARI,BHALUWA,237,4,14,650,1,0,0,6,2,901,0,2,1,0,0,6,13,61,157,500,170,11,61,840,294,500,7,28,4,1,571,1,99,783,29,13,11,912,4300,2130,2170,4.714912280701754,98.15668202764977,711,189,4,2,0,6,11,113,1,771,0,5,11,894,4,2,12,754,766,525,495,221,259,8,12,4197,2081,2116,45,27,18,19,7,12,11,4,7,0,0,0,15,5,10,6,3,3,4,1,3,3,2,1,78,38,40,1009,582,427,478,280,198,388,229,159,434,235,199,115,81,34,32,29,3,13,13,0,2,1,1,178,79,99,4,3,1,3992,1980,2012,2686,1545,1141,60,23,37,1232,410,822,14,2,12,67.28456913827655,78.03030303030303,56.709741550695824,448,415,9,30,0,0,0,10,77,269,561,5
