DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SURKHET,AGRAGAUN,507,0,0,0,0,0,2,0,170,0,0,38,217,84,0,0,506,0,0,3,0,0,155,342,299,0,0,0,0,2,167,1,1,1,0,0,12,509,2707,1218,1489,5.318271119842829,81.79986568166555,0,4,0,188,317,0,493,0,16,0,0,0,0,500,9,0,0,543,677,472,488,69,181,2,8,2598,1159,1439,62,36,26,24,11,13,11,6,5,2,2,0,4,1,3,2,2,0,0,0,0,4,1,3,144,70,74,701,364,337,301,157,144,133,77,56,114,68,46,34,21,13,7,7,0,0,0,0,0,0,0,88,37,51,0,0,0,2350,1047,1303,1332,708,624,287,131,156,731,208,523,0,0,0,56.680851063829785,67.621776504298,47.8894858019954,221,57,225,0,1,5,0,0,334,134,41,0
SURKHET,AWALCHING,378,0,0,0,0,0,1,7,340,0,0,0,28,1,10,7,69,1,1,308,0,7,42,331,314,7,0,0,72,17,162,0,0,0,0,0,13,386,2338,1111,1227,6.05699481865285,90.54604726976365,0,6,0,89,284,7,70,2,307,0,0,0,7,380,4,1,1,495,578,416,422,77,151,2,5,2253,1064,1189,35,15,20,15,9,6,11,6,5,2,1,1,4,3,1,15,10,5,2,2,0,1,1,0,146,86,60,649,354,295,290,154,136,130,76,54,102,65,37,32,22,10,12,9,3,3,2,1,0,0,0,56,15,41,2,2,0,2043,955,1088,1277,699,578,11,7,4,753,248,505,2,1,1,62.50611845325502,73.19371727748691,53.125,281,77,18,1,0,2,0,7,119,3,257,7
SURKHET,BABIYACHAUR,1607,7,2,2,6,0,1,7,1263,17,1,82,236,26,0,7,341,27,16,1234,1,13,284,1208,1033,37,3,4,3,14,625,0,18,29,0,1,140,1632,8214,3897,4317,5.033088235294118,90.27102154273801,29,1,8,460,1127,7,365,45,1203,5,0,0,14,1578,21,0,33,1890,2093,1426,1416,429,606,35,71,7671,3583,4088,336,190,146,50,25,25,80,43,37,5,1,4,17,13,4,17,10,7,6,6,0,32,26,6,330,172,158,2540,1330,1210,1237,681,556,411,235,176,271,158,113,103,76,27,32,23,9,8,8,0,6,4,2,439,156,283,13,4,9,7222,3380,3842,5226,2770,2456,99,34,65,1895,576,1319,2,0,2,72.36222653004708,81.95266272189349,63.925039042165544,1383,150,41,39,5,0,0,14,18,740,867,7
SURKHET,BAJEDICHAUR,855,0,0,2,1,0,3,4,421,1,0,1,397,40,1,4,853,1,0,8,0,3,200,547,454,3,0,1,0,5,344,0,5,1,0,0,118,865,4132,1835,2297,4.776878612716763,79.88680888114934,2,18,1,325,515,4,843,4,13,0,0,0,5,852,6,0,7,793,1018,670,731,107,255,16,32,4101,1816,2285,9,4,5,8,4,4,3,3,0,0,0,0,6,5,1,2,1,1,0,0,0,3,2,1,81,44,37,1151,556,595,564,279,285,273,153,120,274,139,135,71,53,18,27,21,6,4,4,0,1,1,0,16,11,5,72,27,45,3627,1563,2064,2437,1232,1205,63,25,38,1127,306,821,0,0,0,67.19051557761236,78.82277671145233,58.38178294573644,451,150,219,0,0,39,1,5,573,142,146,4
SURKHET,BETAN,503,0,0,1,3,0,0,6,109,1,5,23,294,39,36,6,97,0,1,405,2,8,216,285,224,4,0,1,0,1,169,0,0,0,1,0,12,513,3087,1541,1546,6.017543859649122,99.67658473479948,1,0,0,129,377,6,225,3,270,6,1,0,8,509,2,0,2,735,784,489,443,194,301,52,40,2924,1448,1476,67,41,26,32,18,14,33,18,15,2,2,0,11,4,7,8,4,4,0,0,0,10,6,4,101,55,46,861,479,382,354,227,127,122,86,36,75,58,17,18,14,4,3,3,0,0,0,0,3,2,1,150,74,76,5,3,2,2640,1305,1335,1569,938,631,268,126,142,803,241,562,0,0,0,59.43181818181819,71.87739463601532,47.265917602996254,490,9,2,0,3,0,0,9,497,4,6,6
SURKHET,BIDYAPUR,1282,0,3,5,4,0,0,16,803,2,0,43,404,34,8,16,236,14,3,1032,4,21,206,1013,873,29,1,3,1,7,608,0,6,5,0,1,91,1310,6414,3081,3333,4.89618320610687,92.43924392439244,34,10,4,600,646,16,246,32,1001,9,0,0,22,1260,17,2,31,1483,1552,1084,1032,310,398,89,122,6029,2881,3148,205,111,94,56,27,29,73,37,36,7,2,5,11,5,6,17,8,9,5,4,1,11,6,5,470,188,282,1934,1017,917,987,546,441,540,316,224,189,104,85,149,104,45,46,37,9,22,15,7,4,3,1,214,54,160,114,56,58,5702,2711,2991,4589,2401,2188,107,30,77,1000,279,721,6,1,5,80.48053314626446,88.56510512725932,73.15279170845871,1132,99,38,9,9,0,0,23,113,935,246,16
SURKHET,BIJAURA,1031,0,0,1,1,0,0,3,448,1,84,278,218,3,1,3,375,6,0,646,6,3,289,737,711,5,0,1,0,2,301,0,2,1,0,0,10,1036,5438,2644,2794,5.249034749034749,94.63135289906943,0,1,0,305,727,3,424,11,595,3,0,0,3,1013,17,2,4,1276,1326,1012,953,247,348,17,25,5330,2584,2746,54,28,26,14,7,7,13,9,4,2,2,0,13,7,6,6,5,1,3,2,1,3,0,3,236,124,112,1782,935,847,674,418,256,254,176,78,200,137,63,66,46,20,11,8,3,7,7,0,1,0,1,203,89,114,8,2,6,4760,2304,2456,3332,1889,1443,100,39,61,1325,375,950,3,1,2,70,81.98784722222221,58.75407166123778,809,182,27,2,11,0,0,5,770,125,138,3
SURKHET,BIRENDRANAGAR MUNICIPALITY,5662,178,5937,7,153,5,23,64,10258,254,446,196,262,10,524,79,6730,2247,2045,779,42,186,705,11151,5780,5765,5575,1335,474,2335,9999,93,1905,2542,44,1669,173,12029,47914,23396,24518,3.9832072491478927,95.42377029121461,11195,445,39,21,249,80,4508,6274,85,693,197,84,188,8398,3285,103,243,8873,9123,6981,6394,1737,2500,155,229,46960,22881,24079,352,194,158,134,70,64,160,87,73,17,7,10,98,57,41,77,42,35,22,9,13,94,49,45,1380,747,633,11186,5842,5344,7271,3672,3599,4483,2278,2205,5059,2818,2241,3383,1899,1484,1493,995,498,528,427,101,38,21,17,1534,521,1013,92,40,52,43606,21107,22499,35987,19006,16981,942,417,525,6671,1681,4990,6,3,3,82.52763381186075,90.04595631780926,75.47446553180141,562,4187,821,6214,11,10,21,203,1339,9007,1604,79
SURKHET,CHAPRE,603,0,0,3,0,0,0,11,322,0,1,29,252,4,0,9,549,0,0,56,0,12,170,428,395,2,0,1,0,1,167,0,1,0,0,0,19,617,3506,1747,1759,5.682333873581848,99.3177942012507,1,0,1,161,443,11,545,0,55,5,0,0,12,615,2,0,0,815,873,588,592,189,214,38,67,3124,1542,1582,181,101,80,66,29,37,80,45,35,2,1,1,18,9,9,9,6,3,12,6,6,14,8,6,126,69,57,1014,549,465,403,241,162,134,87,47,75,59,16,27,20,7,6,5,1,1,1,0,0,0,0,116,69,47,0,0,0,3006,1500,1506,1805,1045,760,98,49,49,1096,405,691,7,1,6,60.04657351962741,69.66666666666667,50.46480743691899,592,4,5,1,0,0,0,15,398,8,200,11
SURKHET,CHHINCHU,2689,6,172,7,63,0,5,14,1645,21,106,678,487,4,1,14,2128,252,159,386,3,28,531,2381,1660,915,263,55,11,160,1887,9,76,163,21,87,44,2956,14036,6609,7427,4.7483085250338295,88.98613168170189,1809,135,12,62,924,14,1935,577,174,20,214,5,31,2706,228,3,19,3109,3457,2342,2330,727,1072,40,55,13846,6508,7338,62,43,19,41,16,25,24,13,11,3,1,2,35,16,19,11,5,6,3,1,2,11,6,5,325,176,149,4404,2265,2139,2438,1234,1204,1157,599,558,608,314,294,279,158,121,78,58,20,15,13,2,14,10,4,493,159,334,28,9,19,12562,5853,6709,9585,4865,4720,436,184,252,2540,804,1736,1,0,1,76.30154434007324,83.11976764052622,70.3532568191981,1478,631,105,492,9,212,0,29,192,1187,1563,14
