DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
SYANGJA,ALAMADEVI,892,1,11,2,1,0,0,1,763,2,119,23,0,0,0,1,715,139,6,46,1,1,76,830,505,282,325,11,4,24,776,4,16,12,0,11,2,908,3844,1632,2212,4.233480176211454,73.77938517179024,864,38,1,2,2,1,593,256,0,21,36,1,1,878,27,1,2,650,763,539,545,106,216,5,2,3762,1585,2177,36,25,11,14,6,8,7,4,3,1,1,0,8,3,5,8,2,6,3,2,1,5,4,1,55,16,39,1072,505,567,606,291,315,557,259,298,278,140,138,121,44,77,34,24,10,9,7,2,0,0,0,187,86,101,7,5,2,3544,1485,2059,2915,1374,1541,37,15,22,588,95,493,4,1,3,82.25169300225733,92.52525252525253,74.84215638659543,317,518,35,37,0,0,0,1,4,570,333,1
SYANGJA,ARJUN CHAUPARI,1329,4,136,2,27,3,0,5,1359,2,22,52,64,2,0,5,1369,60,66,1,1,9,114,1367,975,381,586,30,18,51,1220,4,26,1,0,59,25,1506,6307,2753,3554,4.1879150066401065,77.46201463140123,1413,86,2,0,0,5,1335,156,4,1,0,1,9,1397,104,0,5,1152,1278,963,920,170,340,19,18,6209,2692,3517,31,21,10,16,11,5,19,9,10,0,0,0,14,7,7,5,3,2,4,2,2,9,8,1,65,36,29,1590,761,829,1017,458,559,565,269,296,436,227,209,196,86,110,75,48,27,10,9,1,2,2,0,299,173,126,32,19,13,5744,2478,3266,4269,2079,2190,76,32,44,1397,366,1031,2,1,1,74.32103064066852,83.89830508474576,67.05450091855481,133,1089,158,115,0,0,2,9,269,807,425,5
SYANGJA,ARUCHAUR,755,1,4,0,0,0,0,0,678,1,0,1,70,9,1,0,754,6,0,0,0,0,86,666,563,124,113,8,0,2,541,1,2,0,0,2,8,760,2956,1248,1708,3.889473684210526,73.06791569086651,717,41,1,1,0,0,719,40,0,1,0,0,0,720,23,2,15,478,602,428,465,44,128,6,9,2872,1202,1670,23,13,10,11,4,7,19,11,8,0,0,0,15,9,6,5,3,2,1,0,1,10,6,4,54,33,21,739,333,406,427,201,226,231,113,118,281,140,141,112,60,52,37,29,8,14,12,2,2,0,2,63,37,26,6,5,1,2692,1124,1568,1936,943,993,24,9,15,730,171,559,2,1,1,71.91679049034175,83.89679715302492,63.329081632653065,104,561,88,6,0,0,0,1,79,547,134,0
SYANGJA,ARUKHARKA,821,1,31,0,24,0,0,1,852,1,3,19,0,2,1,0,845,32,0,0,0,1,84,794,623,342,232,16,8,25,716,0,20,3,0,8,0,878,3397,1462,1935,3.869020501138952,75.55555555555556,830,31,0,2,14,1,667,207,3,0,0,0,1,853,6,1,18,559,623,468,471,81,138,10,14,3361,1447,1914,13,6,7,5,2,3,2,0,2,0,0,0,10,5,5,4,0,4,1,1,0,1,1,0,44,22,22,734,360,374,585,245,340,315,155,160,302,147,155,165,86,79,37,26,11,9,8,1,2,1,1,231,107,124,6,3,3,3129,1320,1809,2418,1154,1264,23,10,13,687,156,531,1,0,1,77.2770853307766,87.42424242424242,69.87285793255943,49,548,249,31,0,0,0,1,71,665,141,1
SYANGJA,BAGEFADKE,273,0,6,0,2,0,0,0,272,0,0,3,0,6,0,0,276,0,5,0,0,0,10,264,180,86,59,3,0,8,241,1,3,2,0,2,7,281,1102,461,641,3.921708185053381,71.9188767550702,269,12,0,0,0,0,278,3,0,0,0,0,0,269,7,0,5,171,224,137,154,34,70,0,0,1034,423,611,23,14,9,12,5,7,17,11,6,0,0,0,4,3,1,4,1,3,4,2,2,4,2,2,3,2,1,295,147,148,182,92,90,118,44,74,77,39,38,21,9,12,5,5,0,2,1,1,0,0,0,26,12,14,0,0,0,1014,418,596,729,351,378,7,3,4,278,64,214,0,0,0,71.89349112426035,83.97129186602871,63.42281879194631,14,188,74,5,0,0,0,0,7,212,62,0
SYANGJA,BAHAKOT,445,0,3,0,0,0,0,0,414,0,0,26,8,0,0,0,438,2,1,6,1,0,38,405,303,140,95,7,3,7,369,3,10,1,1,8,5,448,1731,764,967,3.8638392857142856,79.00723888314374,431,17,0,0,0,0,440,1,0,6,0,1,0,422,7,1,18,233,282,191,195,40,85,2,2,1686,736,950,18,14,4,3,0,3,5,1,4,1,1,0,5,3,2,7,4,3,1,1,0,5,4,1,38,20,18,379,196,183,287,150,137,213,108,105,130,68,62,46,22,24,14,9,5,6,4,2,0,0,0,79,25,54,0,0,0,1595,689,906,1177,596,581,39,14,25,373,76,297,6,3,3,73.79310344827587,86.5021770682148,64.1280353200883,72,370,1,5,0,0,0,0,23,329,96,0
SYANGJA,BENETHOK DEURALI,821,2,16,0,22,2,0,1,789,0,0,47,23,2,2,1,853,7,1,1,1,1,95,762,562,169,80,2,5,5,678,1,3,0,0,2,7,864,3546,1513,2033,4.104166666666667,74.42203639940973,483,261,0,115,4,1,852,9,0,1,0,1,1,837,19,0,8,639,787,518,545,110,223,11,19,3471,1479,1992,30,14,16,15,3,12,9,5,4,2,2,0,2,1,1,4,4,0,5,1,4,8,4,4,96,58,38,966,452,514,631,278,353,381,194,187,105,51,54,68,31,37,18,13,5,7,7,0,0,0,0,181,88,93,4,3,1,3216,1333,1883,2425,1153,1272,43,22,21,748,158,590,0,0,0,75.40422885572139,86.49662415603902,67.55177907594265,251,594,10,5,0,0,0,4,6,257,600,1
SYANGJA,BHATKHOLA,437,0,10,1,1,0,0,1,428,0,2,17,2,0,0,1,425,1,21,2,0,1,46,400,325,189,41,2,3,12,331,0,1,0,0,5,4,450,1659,700,959,3.6866666666666665,72.99270072992701,414,34,0,0,1,1,434,12,0,2,0,0,2,428,5,0,17,251,293,220,209,27,76,4,8,1615,674,941,18,13,5,11,5,6,3,1,2,0,0,0,2,0,2,2,1,1,3,3,0,5,3,2,53,28,25,366,184,182,244,97,147,153,72,81,154,80,74,56,26,30,11,8,3,4,3,1,1,1,0,93,30,63,3,1,2,1513,616,897,1116,522,594,31,15,16,363,78,285,3,1,2,73.76074025115665,84.74025974025975,66.22073578595318,36,353,40,19,0,0,0,2,27,344,78,1
SYANGJA,BICHARI CHAUTARA,546,0,12,0,5,0,0,0,460,0,0,77,22,4,0,0,552,8,0,3,0,0,70,477,347,174,83,4,0,8,384,0,0,0,0,0,16,563,2185,930,1255,3.8809946714031973,74.10358565737052,529,34,0,0,0,0,541,18,0,3,0,0,1,538,12,0,13,356,399,319,305,37,93,0,1,2122,894,1228,25,16,9,10,5,5,3,2,1,1,0,1,9,6,3,5,3,2,0,0,0,10,4,6,10,3,7,463,243,220,318,134,184,276,131,145,209,98,111,108,54,54,19,15,4,18,14,4,0,0,0,101,37,64,0,0,0,2011,848,1163,1510,725,785,16,7,9,482,115,367,3,1,2,75.08702138239681,85.49528301886792,67.49785038693035,40,372,148,3,0,0,0,0,84,315,164,0
SYANGJA,BIRGHA,1148,4,16,2,7,0,0,3,663,4,155,174,181,0,0,3,1034,26,15,103,0,2,133,1040,793,103,438,15,2,10,926,7,26,5,3,22,7,1180,5117,2185,2932,4.3364406779661016,74.5225102319236,1075,101,0,1,0,3,1052,52,3,71,0,0,2,1127,37,3,13,881,1045,751,778,122,259,8,8,4977,2099,2878,51,30,21,21,15,6,17,10,7,3,2,1,17,9,8,13,7,6,8,6,2,10,7,3,89,52,37,1192,594,598,804,341,463,506,212,294,404,210,194,173,75,98,56,34,22,17,13,4,3,2,1,226,126,100,2,0,2,4649,1937,2712,3386,1605,1781,85,44,41,1178,288,890,0,0,0,72.83286728328673,82.86009292720702,65.67109144542773,429,702,6,36,4,0,0,3,138,456,583,3
