DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
TAPLEJUNG,AMBEGUDIN,613,3,2,0,0,0,0,7,604,0,0,5,9,0,0,7,599,1,1,18,0,6,127,497,384,32,27,12,0,23,404,0,0,0,0,0,1,625,2979,1442,1537,4.7664,93.8191281717632,106,271,0,239,2,7,583,10,3,23,0,0,6,546,40,0,39,597,640,495,502,99,130,3,8,2927,1415,1512,13,7,6,11,6,5,7,7,0,1,0,1,9,4,5,4,2,2,1,0,1,6,1,5,71,37,34,931,489,442,550,255,295,267,152,115,265,143,122,51,32,19,25,21,4,4,4,0,0,0,0,10,4,6,7,3,4,2694,1284,1410,2149,1124,1025,21,11,10,524,149,375,0,0,0,79.7698589458055,87.5389408099688,72.6950354609929,344,263,10,2,0,0,0,6,196,170,252,7
TAPLEJUNG,ANGKHOP,448,1,0,0,1,0,0,1,430,0,0,6,1,3,10,1,430,0,0,20,0,1,114,337,246,5,2,0,0,13,251,0,0,0,0,0,0,451,2346,1122,1224,5.20177383592018,91.6666666666667,2,223,0,202,23,1,405,0,3,40,1,0,2,395,18,0,38,491,528,387,390,101,132,3,6,2186,1033,1153,74,45,29,22,10,12,22,11,11,4,3,1,14,7,7,5,2,3,0,0,0,19,11,8,44,29,15,899,483,416,310,151,159,137,75,62,108,61,47,29,20,9,18,9,9,0,0,0,0,0,0,17,13,4,41,21,20,2095,998,1097,1522,816,706,115,46,69,458,136,322,0,0,0,72.6491646778043,81.7635270541082,64.3573381950775,320,118,0,0,0,0,11,2,121,96,233,1
TAPLEJUNG,CHAKSIBOTE,187,1,3,0,0,0,0,0,179,0,0,0,10,2,0,0,189,1,0,1,0,0,55,136,114,2,0,0,0,2,106,0,0,0,0,0,0,191,908,425,483,4.75392670157068,87.991718426501,1,155,0,35,0,0,150,1,0,40,0,0,0,179,9,1,2,183,209,141,155,41,54,1,0,872,407,465,18,9,9,6,2,4,7,5,2,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,16,9,7,279,136,143,126,57,69,60,28,32,62,38,24,13,8,5,6,5,1,2,2,0,0,0,0,85,47,38,1,1,0,827,391,436,637,322,315,28,16,12,161,53,108,1,0,1,77.0253929866989,82.3529411764706,72.2477064220184,175,16,0,0,0,0,0,0,46,17,128,0
TAPLEJUNG,CHANGE,853,3,0,0,5,0,0,0,743,0,8,13,93,1,3,0,783,3,0,73,1,1,205,656,494,65,5,7,0,6,566,0,2,1,0,1,0,861,4034,1876,2158,4.68524970963995,86.9323447636701,465,363,0,33,0,0,763,0,9,87,0,1,1,681,74,0,106,842,891,614,598,223,289,5,4,3904,1811,2093,59,32,27,22,9,13,15,7,8,0,0,0,7,4,3,10,6,4,1,1,0,16,6,10,70,36,34,1116,599,517,626,318,308,329,164,165,238,133,105,49,34,15,13,9,4,3,2,1,0,0,0,81,48,33,1,1,0,3629,1676,1953,2468,1310,1158,155,71,84,1006,295,711,0,0,0,68.0077156241389,78.1622911694511,59.2933947772657,692,148,16,1,3,0,0,1,256,131,474,0
TAPLEJUNG,DHUNGESANGHU,738,1,0,0,0,0,0,7,669,0,2,5,49,2,12,7,678,0,1,59,0,8,143,603,486,119,18,14,2,35,503,2,0,2,0,0,0,746,3748,1734,2014,5.02412868632708,86.0973187686197,583,127,0,29,0,7,653,6,11,68,0,0,8,612,58,6,70,753,870,560,631,190,236,3,3,3651,1664,1987,43,32,11,18,11,7,6,3,3,2,1,1,9,7,2,3,2,1,2,2,0,14,12,2,119,68,51,1041,518,523,532,250,282,290,141,149,257,118,139,39,24,15,21,17,4,5,5,0,0,0,0,209,136,73,1,1,0,3313,1513,1800,2479,1257,1222,40,24,16,794,232,562,0,0,0,74.8264412918805,83.0799735624587,67.8888888888889,495,224,6,4,6,0,4,7,197,83,459,7
TAPLEJUNG,DOKHU,825,6,63,0,12,0,2,1,798,0,2,7,67,2,31,2,822,19,5,53,9,1,148,761,698,211,102,28,10,31,626,0,5,1,0,0,0,909,4111,1940,2171,4.52255225522552,89.3597420543528,65,481,1,317,43,2,668,56,44,139,0,1,1,661,191,3,54,808,808,618,563,188,240,2,5,3951,1846,2105,74,46,28,21,11,10,24,14,10,1,1,0,21,13,8,4,1,3,2,1,1,13,7,6,202,129,73,1051,531,520,563,275,288,350,180,170,389,196,193,170,92,78,49,39,10,20,14,6,0,0,0,118,55,63,4,2,2,3704,1736,1968,2881,1487,1394,36,18,18,786,231,555,1,0,1,77.780777537797,85.6566820276498,70.8333333333333,466,429,1,9,1,0,0,3,169,209,529,2
TAPLEJUNG,DUMMRISE,324,0,0,0,0,0,0,0,282,0,0,3,20,19,0,0,319,0,0,4,0,1,73,251,228,20,0,1,0,10,180,0,0,0,0,0,0,324,1559,729,830,4.81172839506173,87.8313253012048,0,206,0,104,14,0,304,0,5,14,0,0,1,274,18,1,31,317,332,247,238,70,90,0,4,1506,698,808,23,14,9,8,5,3,7,4,3,0,0,0,7,5,2,1,1,0,0,0,0,7,2,5,92,37,55,408,231,177,240,111,129,118,64,54,96,44,52,28,16,12,5,3,2,1,1,0,0,0,0,39,28,11,1,0,1,1414,658,756,929,497,432,67,32,35,418,129,289,0,0,0,65.7001414427157,75.531914893617,57.1428571428571,282,40,0,0,0,0,1,1,87,70,167,0
TAPLEJUNG,EKHABU,393,2,0,0,0,0,0,1,391,0,0,3,0,1,0,1,380,5,0,9,1,1,135,261,223,1,0,0,0,14,149,0,0,0,0,0,0,396,2032,971,1061,5.13131313131313,91.5174363807729,0,245,0,150,0,1,365,1,4,18,1,6,1,360,33,0,3,457,501,358,382,97,117,2,2,1992,952,1040,14,6,8,5,3,2,9,5,4,0,0,0,4,3,1,2,1,1,1,0,1,5,1,4,16,7,9,634,333,301,307,158,149,201,117,84,25,14,11,31,19,12,11,7,4,2,1,1,0,0,0,2,2,0,1,1,0,1811,868,943,1201,645,556,139,91,48,466,131,335,5,1,4,66.316951960243,74.3087557603687,58.9607635206787,231,137,0,1,2,0,24,1,111,3,281,1
TAPLEJUNG,HANGDEWA,743,3,3,0,1,0,0,3,694,0,0,6,37,13,0,3,695,9,4,43,0,2,69,684,608,17,1,9,0,3,511,1,1,2,1,0,0,753,3605,1683,1922,4.7875166002656,87.5650364203954,52,362,1,335,0,3,653,9,48,41,0,0,2,621,110,11,11,725,809,544,587,179,222,2,0,3517,1637,1880,44,27,17,23,9,14,7,2,5,2,2,0,7,3,4,3,2,1,0,0,0,2,1,1,61,39,22,1022,538,484,551,270,281,424,203,221,282,137,145,96,63,33,14,9,5,8,7,1,0,0,0,10,5,5,2,2,0,3263,1507,1756,2446,1261,1185,33,17,16,783,229,554,1,0,1,74.9616916947594,83.6761778367618,67.4829157175399,316,411,3,1,0,0,20,2,124,399,227,3
TAPLEJUNG,HANGPANG,778,4,0,0,0,0,0,0,710,0,1,14,55,1,1,0,749,3,0,30,0,0,115,667,574,157,23,12,15,7,571,0,0,0,0,1,0,782,3719,1746,1973,4.75575447570333,88.4946781550938,596,175,0,8,3,0,726,7,5,44,0,0,0,660,37,1,84,710,845,531,585,174,252,5,8,3577,1678,1899,54,28,26,32,14,18,17,12,5,1,0,1,9,2,7,5,0,5,3,2,1,21,10,11,87,51,36,1020,509,511,595,286,309,253,132,121,263,154,109,70,47,23,11,9,2,10,10,0,0,0,0,169,88,81,5,3,2,3353,1557,1796,2460,1278,1182,63,33,30,828,245,583,2,1,1,73.3671339099314,82.0809248554913,65.8129175946548,624,148,8,0,1,0,0,1,107,99,576,0
