DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
TEHRATHUM,AMBUNG,747,1,40,0,0,0,0,2,739,2,3,2,36,6,0,2,735,19,1,31,0,4,77,707,454,291,43,9,1,21,595,0,6,3,0,1,6,790,3613,1681,1932,4.573417721518988,87.00828157349896,747,39,1,1,0,2,724,22,6,32,0,2,4,676,102,0,12,682,752,529,511,147,229,6,12,3565,1662,1903,19,7,12,9,1,8,8,4,4,1,0,1,4,4,0,2,2,0,1,0,1,4,1,3,94,50,44,997,498,499,599,288,311,396,228,168,382,201,181,61,43,18,14,10,4,3,3,0,2,1,1,49,17,32,7,2,5,3273,1504,1769,2549,1310,1239,69,32,37,653,161,492,2,1,1,77.87962114268255,87.10106382978722,70.03957037874505,285,478,4,12,0,0,6,5,57,238,493,2
TEHRATHUM,ANGDEEM,440,0,0,0,1,0,0,2,259,0,0,13,168,0,1,2,416,0,0,15,10,2,43,395,294,229,3,4,4,4,339,0,1,0,1,0,5,443,1986,898,1088,4.483069977426637,82.53676470588235,413,28,0,0,0,2,414,3,3,21,0,0,2,432,3,0,8,352,412,274,282,75,129,3,1,1935,873,1062,17,8,9,8,5,3,7,2,5,1,0,1,7,5,2,5,2,3,0,0,0,6,3,3,4,3,1,483,252,231,354,170,184,236,121,115,211,104,107,23,13,10,24,16,8,4,3,1,0,0,0,43,19,24,1,1,0,1848,827,1021,1350,681,669,54,23,31,444,123,321,0,0,0,73.05194805194806,82.34582829504232,65.52399608227229,123,313,0,0,0,0,5,2,98,154,189,2
TEHRATHUM,BASANTAPUR,939,8,159,0,0,3,1,1,937,0,2,12,159,0,0,1,909,21,39,141,1,0,111,969,576,590,231,57,24,88,861,2,23,18,2,9,31,1111,4839,2261,2578,4.355535553555356,87.70364623739333,1060,47,1,1,1,1,850,74,126,54,0,7,0,819,270,0,22,889,954,708,690,173,249,8,15,4685,2188,2497,42,18,24,36,14,22,28,14,14,1,1,0,12,7,5,14,8,6,7,4,3,14,7,7,50,29,21,1284,663,621,702,323,379,388,216,172,561,289,272,132,89,43,52,37,15,17,15,2,1,0,1,206,83,123,2,1,1,4371,2019,2352,3344,1716,1628,73,29,44,952,274,678,2,0,2,76.50423244108899,84.9925705794948,69.21768707482994,203,805,4,52,19,0,25,3,117,509,484,1
TEHRATHUM,CHHATE DHUNGA,645,2,0,3,5,0,0,6,367,0,26,45,217,0,0,6,555,0,0,50,49,7,108,500,440,41,2,4,0,11,340,0,2,0,0,0,53,661,3228,1485,1743,4.883509833585476,85.19793459552496,10,217,2,307,119,6,551,1,4,58,1,39,7,572,6,0,83,601,693,472,504,129,187,0,2,3140,1439,1701,32,15,17,19,11,8,14,7,7,0,0,0,9,5,4,7,4,3,1,1,0,6,3,3,48,26,22,908,480,428,486,228,258,266,132,134,311,164,147,67,37,30,32,23,9,12,10,2,1,1,0,1,0,1,1,0,1,2920,1340,1580,2114,1090,1024,65,32,33,741,218,523,0,0,0,72.3972602739726,81.34328358208955,64.81012658227849,582,68,1,1,0,0,2,7,265,76,314,6
TEHRATHUM,CHUHANDANDA,760,8,1,1,0,0,0,1,448,0,3,182,135,0,2,1,672,0,0,98,0,1,154,583,469,35,1,1,0,4,423,1,1,0,0,0,34,771,3541,1632,1909,4.592736705577172,85.489785227868,15,380,2,205,168,1,701,0,18,51,0,0,1,700,20,2,49,628,714,396,432,178,233,54,49,3429,1567,1862,56,35,21,17,6,11,11,7,4,0,0,0,7,5,2,13,10,3,0,0,0,8,2,6,47,28,19,711,387,324,534,248,286,386,184,202,277,158,119,113,55,58,38,25,13,9,7,2,1,1,0,103,56,47,7,2,5,3193,1454,1739,2220,1149,1071,33,16,17,940,289,651,0,0,0,69.52709051049169,79.02338376891335,61.58711903392754,651,118,1,0,0,0,0,1,481,36,253,1
TEHRATHUM,DANGAPA,495,0,0,0,0,0,0,0,441,0,1,10,36,2,5,0,478,0,0,6,11,0,59,428,251,136,1,4,12,3,401,0,0,0,0,0,8,495,2512,1081,1431,5.074747474747475,75.54157931516421,339,149,6,1,0,0,485,0,1,9,0,0,0,485,0,0,10,446,611,344,434,98,174,4,3,2441,1046,1395,9,4,5,17,10,7,16,6,10,0,0,0,8,2,6,3,1,2,3,3,0,15,9,6,98,56,42,612,293,319,352,152,200,167,76,91,185,89,96,27,16,11,9,6,3,2,1,1,1,1,0,40,20,20,0,0,0,2234,945,1289,1394,655,739,109,56,53,731,234,497,0,0,0,62.39928379588182,69.31216931216932,57.33126454615981,262,228,0,1,1,0,3,0,195,112,188,0
TEHRATHUM,ESEEBU,608,5,0,0,2,0,0,1,569,1,15,10,17,2,1,1,585,11,0,15,2,3,99,505,439,46,6,6,0,12,410,1,0,1,0,0,12,616,2846,1305,1541,4.62012987012987,84.68526930564568,189,164,3,176,83,1,578,17,0,18,0,0,3,537,20,1,58,487,541,398,395,84,145,5,1,2727,1234,1493,48,33,15,25,10,15,20,14,6,0,0,0,5,2,3,15,8,7,0,0,0,6,4,2,73,43,30,618,322,296,425,196,229,288,153,135,394,194,200,42,22,20,9,6,3,3,3,0,6,6,0,58,37,21,6,5,1,2604,1184,1420,1903,976,927,27,9,18,674,199,475,0,0,0,73.07987711213516,82.43243243243244,65.28169014084507,463,132,12,6,0,0,1,2,203,80,332,1
TEHRATHUM,EWA,691,3,2,0,1,0,0,4,371,0,2,12,260,5,47,4,683,1,0,11,2,4,109,592,461,25,9,2,0,17,466,0,5,0,0,0,0,701,3362,1535,1827,4.796005706134094,84.01751505199782,40,249,1,312,95,4,658,1,0,38,0,0,4,572,45,2,82,625,710,495,510,126,197,4,3,3304,1512,1792,4,1,3,15,5,10,15,7,8,1,0,1,9,5,4,1,0,1,5,2,3,8,3,5,12,10,2,873,455,418,503,225,278,326,176,150,277,125,152,81,46,35,41,29,12,6,6,0,1,0,1,153,79,74,1,1,0,3038,1386,1652,2248,1132,1116,58,26,32,732,228,504,0,0,0,73.9960500329164,81.67388167388168,67.55447941888619,502,193,2,0,0,0,0,4,262,133,302,4
TEHRATHUM,HAMARJUNG,696,7,27,0,0,0,0,1,627,1,1,61,41,0,0,0,647,22,3,54,1,4,121,596,440,285,10,18,3,15,487,2,6,0,2,0,14,731,3322,1526,1796,4.5444596443228455,84.96659242761693,644,82,2,1,1,1,635,28,14,50,0,0,4,657,62,0,12,628,685,496,499,131,181,1,5,3271,1494,1777,20,16,4,10,6,4,3,3,0,0,0,0,9,3,6,5,3,2,0,0,0,4,1,3,73,38,35,949,496,453,457,217,240,249,121,128,286,156,130,53,37,16,15,12,3,13,8,5,1,0,1,97,37,60,2,0,2,3012,1372,1640,2176,1112,1064,57,25,32,779,235,544,0,0,0,72.24435590969456,81.04956268221575,64.8780487804878,431,280,4,12,0,0,0,4,208,248,274,1
TEHRATHUM,HWAKU,640,0,0,2,2,0,0,0,561,1,8,50,16,7,1,0,597,1,0,46,0,0,92,539,472,86,4,1,0,8,388,0,1,2,0,0,13,644,3075,1448,1627,4.774844720496894,88.99815611555009,432,96,3,97,16,0,587,1,11,45,0,0,0,578,49,3,14,604,664,465,461,122,177,17,26,3024,1420,1604,28,16,12,9,5,4,6,4,2,1,0,1,2,0,2,1,1,0,1,0,1,3,2,1,41,26,15,872,444,428,489,250,239,225,108,117,268,156,112,67,38,29,22,18,4,5,5,0,2,0,2,8,5,3,4,3,1,2767,1291,1476,1968,1036,932,52,25,27,745,229,516,2,1,1,71.12396096855801,80.24786986831913,63.143631436314365,456,174,11,0,3,0,0,0,209,150,285,0
