DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
UDAYAPUR,AANPTAR,858,2,0,1,0,0,0,1,701,1,3,55,65,36,0,1,772,5,0,79,2,4,329,530,472,38,1,2,0,35,154,0,0,1,0,4,3,862,4494,2118,2376,5.213457076566125,89.14141414141415,176,254,0,246,185,1,689,17,4,147,0,1,4,848,11,0,3,984,1133,812,884,170,245,2,4,4382,2065,2317,35,19,16,13,9,4,16,7,9,6,4,2,14,5,9,0,0,0,7,4,3,21,5,16,165,80,85,1374,742,632,588,289,299,230,111,119,195,102,93,64,38,26,8,6,2,1,1,0,1,0,1,98,48,50,4,2,2,3967,1840,2127,2605,1367,1238,142,63,79,1219,410,809,1,0,1,65.66675069321906,74.29347826086956,58.20404325340856,739,65,38,1,0,15,0,4,731,12,118,1
UDAYAPUR,BALAMTA,472,0,0,0,0,0,0,0,441,0,0,31,0,0,0,0,458,1,0,13,0,0,144,328,301,25,0,0,1,7,191,0,0,0,0,0,0,472,2298,1070,1228,4.86864406779661,87.13355048859935,31,76,0,197,168,0,449,2,0,21,0,0,0,466,6,0,0,479,534,389,416,80,110,10,8,2144,991,1153,26,17,9,42,11,31,44,26,18,1,1,0,3,2,1,4,2,2,8,6,2,26,14,12,19,8,11,733,378,355,357,181,176,134,73,61,118,59,59,43,27,16,13,10,3,5,4,1,0,0,0,11,2,9,1,1,0,2061,953,1108,1412,734,678,2,0,2,647,219,428,0,0,0,68.51043182920911,77.01993704092341,61.191335740072205,442,11,9,1,0,9,0,0,388,1,83,0
UDAYAPUR,BARAHA,533,4,0,0,0,0,0,1,449,0,1,54,31,2,0,1,536,0,0,0,1,1,205,316,292,8,0,0,0,8,127,0,0,1,0,0,17,538,2904,1383,1521,5.397769516728625,90.92702169625247,0,248,0,230,59,1,533,2,0,2,0,0,1,521,10,0,7,668,774,512,571,152,201,4,2,2840,1350,1490,24,13,11,5,2,3,3,1,2,0,0,0,10,9,1,3,1,2,4,1,3,15,6,9,95,43,52,961,526,435,362,191,171,126,63,63,78,52,26,38,16,22,12,9,3,0,0,0,3,1,2,0,0,0,3,2,1,2549,1214,1335,1579,854,725,76,43,33,893,317,576,1,0,1,61.94586112200863,70.34596375617792,54.30711610486891,516,11,0,0,0,10,0,1,394,4,139,1
UDAYAPUR,BARRE,837,7,1,3,0,0,0,3,724,0,8,113,1,2,0,3,400,2,1,440,0,8,338,512,411,16,8,2,1,5,273,1,1,1,0,1,1,851,4482,2120,2362,5.266745005875441,89.75444538526672,5,345,4,411,84,2,732,2,11,98,0,0,8,841,3,3,4,949,1111,727,786,221,321,1,4,4354,2044,2310,55,32,23,14,6,8,27,18,9,0,0,0,15,13,2,2,0,2,5,2,3,10,5,5,65,32,33,1191,639,552,654,338,316,217,114,103,260,148,112,61,37,24,20,17,3,0,0,0,2,0,2,12,3,9,3,0,3,4012,1888,2124,2373,1271,1102,234,115,119,1403,502,901,2,0,2,59.14755732801596,67.31991525423729,51.88323917137476,793,16,32,0,0,2,1,7,690,75,83,3
UDAYAPUR,BANSBOTE,421,1,0,5,1,0,0,3,348,0,0,42,36,2,0,3,406,0,0,22,0,3,152,276,214,6,0,2,0,9,153,0,1,0,0,0,3,431,2266,1080,1186,5.25754060324826,91.06239460370995,3,83,4,145,193,3,407,0,1,20,0,0,3,428,2,0,1,519,577,424,456,89,114,6,7,2193,1037,1156,17,10,7,10,3,7,19,13,6,3,1,2,5,4,1,6,6,0,4,2,2,9,4,5,36,19,17,621,330,291,302,142,160,201,108,93,5,2,3,27,16,11,11,8,3,1,1,0,0,0,0,59,47,12,1,0,1,2017,951,1066,1219,652,567,132,50,82,665,249,416,1,0,1,60.43629152206247,68.55941114616193,53.189493433395874,421,4,1,1,0,1,0,3,226,11,191,3
UDAYAPUR,BASHAHA,2109,14,36,5,73,0,0,3,617,740,64,799,15,1,2,2,3,16,25,2188,1,7,292,1929,919,1078,68,49,4,126,1612,7,120,688,7,72,19,2240,10106,4520,5586,4.511607142857143,80.91657715717866,1587,619,12,14,5,3,15,108,1216,891,0,3,7,2162,66,2,10,2006,2207,1580,1572,376,590,50,45,9918,4424,5494,58,30,28,20,8,12,35,17,18,1,1,0,35,14,21,7,3,4,13,10,3,19,13,6,193,107,86,2530,1305,1225,1588,722,866,717,331,386,778,399,379,279,107,172,35,32,3,16,13,3,7,5,2,442,176,266,46,23,23,9222,4098,5124,6486,3140,3346,263,142,121,2471,816,1655,2,0,2,70.33181522446324,76.62274280136651,65.30054644808743,482,1311,411,21,6,0,1,8,632,402,1203,3
UDAYAPUR,BELTAR,2831,9,177,3,106,0,1,1,1794,512,224,484,0,7,106,1,81,189,102,2744,10,2,319,2771,1494,1704,202,104,12,183,2420,9,230,1356,8,243,38,3128,13812,6247,7565,4.415601023017903,82.57766027759419,2596,506,9,9,7,1,32,579,1267,1224,0,21,5,2677,396,12,43,2742,2914,2333,2243,372,611,37,60,13562,6113,7449,85,52,33,15,8,7,48,20,28,0,0,0,42,22,20,14,7,7,24,13,11,22,12,10,358,187,171,3609,1883,1726,2016,1014,1002,1506,716,790,1103,524,579,570,252,318,80,53,27,36,36,0,4,1,3,244,92,152,14,3,11,12649,5655,6994,9431,4701,4730,277,131,146,2939,822,2117,2,1,1,74.55925369594434,83.12997347480106,67.62939662567915,304,2485,158,169,4,0,3,5,978,1442,707,1
UDAYAPUR,BHUTTAR,617,0,1,3,1,0,0,13,389,1,24,152,43,11,2,13,170,4,1,447,0,13,241,378,301,25,0,1,0,9,213,0,1,0,1,0,16,635,3039,1447,1592,4.785826771653543,90.89195979899498,343,176,3,67,33,13,456,3,3,79,2,79,13,613,9,7,6,605,668,460,484,134,162,11,22,2982,1417,1565,17,9,8,12,6,6,10,6,4,0,0,0,3,2,1,0,0,0,5,2,3,10,5,5,74,37,37,812,455,357,428,223,205,189,94,95,224,119,105,55,22,33,22,17,5,4,3,1,2,1,1,112,48,64,9,5,4,2738,1284,1454,1920,1019,901,38,11,27,780,254,526,0,0,0,70.12417823228634,79.3613707165109,61.96698762035764,571,23,20,0,0,5,0,16,406,15,201,13
UDAYAPUR,CHAUDANDI,739,5,1,2,2,0,1,6,367,0,44,305,15,18,1,6,64,0,0,686,0,6,270,481,354,45,0,4,0,7,363,1,9,36,0,0,5,756,3882,1858,2024,5.134920634920635,91.79841897233202,84,442,0,174,50,6,71,1,182,494,0,2,6,742,8,0,6,902,944,638,688,233,226,31,30,3782,1809,1973,26,15,11,12,5,7,16,4,12,5,4,1,19,10,9,5,3,2,10,7,3,7,1,6,46,21,25,1361,739,622,460,239,221,254,134,120,112,55,57,59,31,28,4,3,1,2,2,0,3,2,1,7,5,2,8,3,5,3466,1651,1815,2287,1222,1065,116,49,67,1062,380,682,1,0,1,65.98384304673975,74.01574803149606,58.67768595041323,470,275,2,1,1,0,1,6,469,211,70,6
UDAYAPUR,DUMRE,460,5,0,5,0,0,0,1,369,0,1,38,15,36,11,1,164,0,1,303,2,1,159,311,241,11,1,1,0,1,211,0,1,1,0,0,1,471,2357,1085,1272,5.004246284501062,85.29874213836479,15,215,2,209,29,1,277,2,0,191,0,0,1,470,1,0,0,456,535,386,393,70,142,0,0,2284,1039,1245,24,14,10,15,7,8,12,9,3,0,0,0,3,3,0,1,1,0,8,5,3,10,7,3,54,26,28,591,327,264,355,180,175,117,54,63,175,83,92,31,12,19,14,9,5,0,0,0,1,0,1,188,101,87,0,0,0,2073,941,1132,1476,769,707,63,28,35,534,144,390,0,0,0,71.20115774240232,81.72157279489905,62.455830388692576,449,3,3,13,0,0,0,3,434,18,18,1
